date,mean_x,mean_y,temp
2020-01-30,11.146891724000001,17.7649634872,14.46
2020-01-31,12.3349564485,18.5352519257,15.44
2020-02-01,11.733111405599999,18.637487662,15.19
2020-02-02,9.83136463647,21.8481919934,15.84
2020-02-03,11.762640457,20.6805742823,16.22
2020-02-04,9.26302200857,21.6004506121,15.43
2020-02-05,8.518073019360001,18.823316622300002,13.67
2020-02-06,12.3940071385,18.242565627,15.32
2020-02-07,12.1171489051,18.5751581577,15.35
2020-02-08,10.4358507311,18.5701823283,14.5
2020-02-09,11.021285943299999,17.094175907100002,14.06
2020-02-10,9.98621169967,20.2033385556,15.09
2020-02-11,10.8961232455,18.7136386717,14.8
2020-02-12,11.2204260874,17.462657620199998,14.34
2020-02-13,11.8441251552,18.2997076728,15.07
2020-02-14,9.64801402044,19.1251367704,14.39
2020-02-15,10.110046945399999,18.9214063702,14.52
2020-02-16,9.8776860189,18.6476153171,14.26
2020-02-17,9.34016655912,19.9523018538,14.65
2020-02-18,9.289983710860001,20.166911558699997,14.73
2020-02-19,11.837462656400001,19.7971717854,15.82
2020-02-20,11.2979150252,19.8760525964,15.59
2020-02-21,13.2320655958,18.9754844916,16.1
2020-02-22,11.783945391900001,21.6022223656,16.69
2020-02-23,12.601318792899999,20.4835778053,16.54
2020-02-24,9.063380593,19.464026460699998,14.26
2020-02-26,9.70902758415,20.5585845793,15.13
2020-02-27,9.25339936247,20.0257650048,14.64
2020-02-28,8.12890669794,20.1118006465,14.12
2020-02-29,10.489500122799999,18.4654465011,14.48
2020-03-01,11.9024450851,18.5882529442,15.25
2020-03-02,11.9110801051,20.6943683432,16.3
2020-03-03,8.12139792876,18.1945956355,13.16
2020-03-04,12.732871498699998,19.8116796089,16.27
2020-03-05,10.7789568612,20.4029111381,15.59
2020-03-06,7.660524091339999,20.4640373461,14.06
2020-03-07,8.727177109380001,19.5280036445,14.13
2020-03-08,11.2385433322,19.4851677923,15.36
2020-03-09,12.0666439798,25.6399767327,18.85
2020-03-10,11.475127884800001,25.539350789,18.51
2020-03-11,14.089865487,25.3100903444,19.7
2020-03-12,13.5262806969,18.942148854000003,16.23
2020-03-13,11.7954391566,18.653598881700002,15.22
2020-03-16,7.90371149959,18.8850542512,13.39
2020-03-17,8.13320643252,14.1840183759,11.16
2020-03-18,11.7508439343,22.3029342228,17.03
2020-03-19,13.7967240979,19.9963919418,16.9
2020-03-20,9.77951530977,15.675900271400002,12.73
2020-03-21,9.26812088128,16.7022433425,12.99
2020-03-22,7.57969222406,15.8349647955,11.71
2020-03-23,9.96341374426,17.4310710599,13.7
2020-03-24,10.4697020271,19.3319826222,14.9
2020-03-25,12.208937428199999,18.984754263800003,15.6
2020-03-26,10.3853355755,21.7259904495,16.06
2020-03-27,9.175060936900001,18.715869383399998,13.95
2020-03-28,9.82950365182,18.9481614431,14.39
2020-03-29,11.5886349871,18.685575205899998,15.14
2020-03-30,11.477845977100001,16.2555872888,13.87
2020-03-31,11.3765536992,16.954223661700002,14.17
2020-04-01,8.631790141869999,16.6356726367,12.63
2020-04-02,8.61678296869,19.4180192851,14.02
2020-04-03,9.301166105750001,19.7373262174,14.52
2020-04-04,13.5934537204,19.0576316178,16.33
2020-04-05,15.158949823099999,19.075780454300002,17.12
2020-04-06,13.2335346347,19.237816512000002,16.24
2020-04-07,14.8199219126,19.4064078572,17.11
2020-04-08,14.681721788499999,20.694730171,17.69
2020-04-09,15.502197781,19.388122337000002,17.45
2020-04-10,16.3250446898,20.430114678699997,18.38
2020-04-11,15.6097302967,20.9287892929,18.27
2020-04-12,13.8157522558,20.3425314162,17.08
2020-04-13,12.933395120799998,19.510004977999998,16.22
2020-04-14,14.197835440599999,20.3321831154,17.27
2020-04-15,12.5746305543,19.6560626367,16.12
2020-04-16,15.3562867136,19.864168379000002,17.61
2020-04-17,15.1063731849,19.5077090986,17.31
2020-04-18,13.709820000799999,20.7377953481,17.22
2020-04-19,12.926969971300002,22.6809822429,17.8
2020-04-20,13.1202740332,19.7023373421,16.41
2020-04-21,12.240464783699998,21.1040568593,16.67
2020-04-22,11.1744529503,21.445989955599998,16.31
2020-04-23,12.7074722521,21.9569059141,17.33
2020-04-24,15.2768688298,22.423644778699998,18.85
2020-04-25,14.6616062877,20.9799002156,17.82
2020-04-26,13.942731226300001,19.3730724508,16.66
2020-04-27,11.8682815956,19.0147724152,15.44
2020-04-28,12.532954635,19.9394244859,16.24
2020-04-29,10.8492283917,19.9613120532,15.41
2020-04-30,15.4079518703,20.9201093828,18.16
2020-05-01,12.756055735599999,21.3915163291,17.07
2020-05-02,14.2605755353,23.203887891300003,18.73
2020-05-03,16.6040314183,27.043845465700002,21.82
2020-05-04,16.9027993173,22.2666693023,19.58
2020-05-05,14.5634442965,21.495995560100003,18.03
2020-05-06,14.2574580221,24.0870441379,19.17
2020-05-07,18.8625623722,25.6798817702,22.27
2020-05-08,15.2530169872,21.8509221029,18.55
2020-05-09,13.4434047949,20.6739244172,17.06
2020-05-10,14.8243265489,20.4839126317,17.65
2020-05-11,16.219778427,20.9561059162,18.59
2020-05-12,14.5871111696,19.6741051048,17.13
2020-05-13,13.2842728393,20.1319799327,16.71
2020-05-14,13.119117471900001,19.074381500799998,16.1
2020-05-15,14.5149324928,19.9061314747,17.21
2020-05-16,14.010685954400001,21.3581941393,17.68
2020-05-17,14.834668501500001,23.185203552199997,19.01
2020-05-18,16.7642497824,23.3536949736,20.06
2020-05-19,17.0476142325,27.6025560456,22.33
2020-05-20,20.0545570778,27.4109260867,23.73
2020-05-21,18.098156803800002,26.4170061747,22.26
2020-05-22,19.383916874100002,31.060149048299998,25.22
2020-05-23,22.7669296554,33.165613636799996,27.97
2020-05-24,20.7810531481,30.288288694400002,25.53
