date,mean_x,mean_y,temp
2020-01-30,12.4051353591,14.571525846199998,13.49
2020-01-31,13.4070952733,15.8588054975,14.63
2020-02-01,13.917448725,15.7685712406,14.84
2020-02-02,12.6810740062,20.3012142636,16.49
2020-02-03,11.8819199517,23.494447254,17.69
2020-02-04,12.050860200599999,17.6838486989,14.87
2020-02-05,12.7322031884,19.4464017323,16.09
2020-02-06,10.394033500099999,20.1044064476,15.25
2020-02-07,11.610431126199998,17.4199145635,14.52
2020-02-08,8.83073159627,15.5680200259,12.2
2020-02-09,8.516213598710001,15.0504997344,11.78
2020-02-10,10.8031242234,15.1851837067,12.99
2020-02-11,10.4694599651,17.9138272603,14.19
2020-02-12,10.3064629237,15.2487532525,12.78
2020-02-13,10.9367875145,15.6385910852,13.29
2020-02-14,11.0093950998,18.1795863197,14.59
2020-02-15,7.935553789139999,17.5265171868,12.73
2020-02-16,12.9120037896,16.414371853800002,14.66
2020-02-17,7.65725969133,16.2073743911,11.93
2020-02-18,4.15171681132,15.8497989972,10.0
2020-02-19,4.60542451768,18.2987871624,11.45
2020-02-20,4.484703495390001,17.8357754208,11.16
2020-02-21,9.46068738756,21.2680047807,15.36
2020-02-22,8.031335830689999,21.6865525019,14.86
2020-02-23,7.35940978641,21.2796019145,14.32
2020-02-24,6.67775680905,17.075596219,11.88
2020-02-25,6.67775680905,17.075596219,11.88
2020-02-26,8.41475700197,15.8766917728,12.15
2020-02-27,9.42139668692,16.4753479731,12.95
2020-02-28,6.41274116153,19.1880097616,12.8
2020-02-29,11.0007923217,16.3156846364,13.66
2020-03-01,11.3870612326,16.453742299800002,13.92
2020-03-02,9.92657929375,15.4427004088,12.68
2020-03-03,12.6135863122,14.9629318601,13.79
2020-03-04,13.8193416368,15.5727898734,14.7
2020-03-05,10.102477005499999,15.8064764568,12.95
2020-03-06,9.90182445163,15.476395516199998,12.69
2020-03-07,7.835115012669999,15.531455425999999,11.68
2020-03-08,8.49001339504,14.2025867871,11.35
2020-03-09,5.8973006521,16.8539969126,11.38
2020-03-10,6.72186057908,16.3908577874,11.56
2020-03-11,6.6457617737,16.8268208277,11.74
2020-03-12,8.5321017674,18.2627132961,13.4
2020-03-13,6.96671739079,18.021295138800003,12.49
2020-03-14,6.96671739079,18.021295138800003,12.49
2020-03-15,6.96671739079,18.021295138800003,12.49
2020-03-16,4.0423948367400016,15.8878032821,9.97
2020-03-17,6.37355190232,20.3771375474,13.38
2020-03-18,11.3506456784,22.3438340596,16.85
2020-03-19,11.678570157000001,19.898749033599998,15.79
2020-03-20,11.588747455999998,15.5268196378,13.56
2020-03-21,10.4148840904,15.6768058595,13.05
2020-03-22,10.5665206682,18.4345318022,14.5
2020-03-23,8.49839548838,19.6567604882,14.08
2020-03-24,10.2310971533,21.8005164918,16.02
2020-03-25,8.40575822194,16.8456692923,12.63
2020-03-26,8.60674310866,14.499093918599998,11.55
2020-03-27,5.88327641714,17.481817745,11.68
2020-03-28,6.80164850326,17.4539264951,12.13
2020-03-29,7.23552935464,21.3785430363,14.31
2020-03-30,8.864444051469999,13.8657600539,11.37
2020-03-31,5.27495000476,10.4073541959,7.84
2020-04-01,4.9992659319,16.908234051300006,10.95
2020-04-02,4.94769088427,18.7196403231,11.83
2020-04-03,7.362688302989999,19.4676173528,13.42
2020-04-04,10.3907161894,20.8583563396,15.62
2020-04-05,13.280997685,16.8106380644,15.05
2020-04-06,12.3302986735,17.1099904832,14.72
2020-04-07,13.906305131500002,20.0188637234,16.96
2020-04-08,12.248707203599999,20.8130675725,16.53
2020-04-09,14.1086004348,16.368690854,15.24
2020-04-10,12.915047077899999,18.4007772718,15.66
2020-04-11,10.8551347142,18.3976776486,14.63
2020-04-12,10.1111535799,16.778174491199998,13.44
2020-04-13,8.90428202493,16.2057767141,12.56
2020-04-14,8.16920768647,22.5108357838,15.34
2020-04-15,11.0889334679,19.1906229201,15.14
2020-04-16,11.9244273277,17.194656008800006,14.56
2020-04-17,11.8667712439,18.5946943646,15.23
2020-04-18,9.67855828149,17.8801080613,13.78
2020-04-19,9.13149568013,17.0599927902,13.1
2020-04-20,10.3323991412,16.6626848039,13.5
2020-04-21,10.4231238592,18.9395094372,14.68
2020-04-22,9.893408729919999,18.6936618714,14.29
2020-04-23,8.66867855617,19.0405442374,13.85
2020-04-24,9.64890380133,18.0477343968,13.85
2020-04-25,10.043658143,16.8387185505,13.44
2020-04-26,9.40613297054,17.0045587903,13.21
2020-04-27,10.4464232354,16.6406759535,13.54
2020-04-28,9.9810048285,18.043035461800002,14.01
2020-04-29,12.8652647109,16.7777823494,14.82
2020-04-30,12.005827404200001,17.5756718772,14.79
2020-05-01,14.9270208904,17.7457289469,16.34
2020-05-02,13.7113989875,21.1249367396,17.42
2020-05-03,12.1525924092,30.2403544471,21.2
2020-05-04,15.2314788273,20.4147882916,17.82
2020-05-05,13.9233782405,21.2153612773,17.57
2020-05-06,13.136470999,21.2442986625,17.19
2020-05-07,12.7326551619,23.6744132269,18.2
2020-05-08,14.6056841896,20.0733751569,17.34
2020-05-09,11.739949203699998,16.9950629643,14.37
2020-05-10,10.4568465551,18.3132206145,14.39
2020-05-11,12.6617506572,20.4863421122,16.57
2020-05-12,11.5425834656,20.6245156697,16.08
2020-05-13,12.5433832123,21.3711658659,16.96
2020-05-14,10.8279336748,19.3103174028,15.07
2020-05-15,11.6567955698,23.5681287221,17.61
2020-05-16,13.576981249300001,22.340878486599998,17.96
2020-05-17,13.8524448758,24.336096672800004,19.09
2020-05-18,11.462447597899999,24.161653019099997,17.81
