date,mean_x,mean_y,temp
2020-01-30,12.6373090597,15.4051019468,14.02
2020-01-31,13.518873255899999,17.3199517403,15.42
2020-02-01,14.6448629315,18.8194604155,16.73
2020-02-02,11.3600743435,22.8230877276,17.09
2020-02-03,10.1124338191,23.8856278055,17.0
2020-02-04,9.03353791178,17.535029635,13.28
2020-02-05,7.557368914289999,19.456372196300002,13.51
2020-02-06,8.16485371119,20.0782648663,14.12
2020-02-07,9.12706085193,18.8843600014,14.01
2020-02-08,10.6146800606,16.2841080148,13.45
2020-02-09,7.956184418110001,17.0749266177,12.52
2020-02-10,11.272246493199999,17.5836385385,14.43
2020-02-11,11.3392341814,18.1973843633,14.77
2020-02-12,11.740813635,14.569913975999999,13.16
2020-02-13,9.41024341701,16.408945366199998,12.91
2020-02-14,7.61312007021,19.6963822518,13.65
2020-02-15,5.86884955124,19.8873263701,12.88
2020-02-16,8.6102483876,16.8755020801,12.74
2020-02-17,5.97181227031,16.8627821369,11.42
2020-02-18,2.7803675731,15.7574515372,9.27
2020-02-19,1.33652845246,19.764930501400002,10.55
2020-02-20,3.44392109101,19.4209806124,11.43
2020-02-21,4.95768249182,23.8292664481,14.39
2020-02-22,4.952133749740001,23.8493382018,14.4
2020-02-23,3.83639635201,26.162278664000002,15.0
2020-02-24,3.85320171309,19.7166899457,11.78
2020-02-25,3.85320171309,19.7166899457,11.78
2020-02-26,6.3483641515499984,16.1163307296,11.23
2020-02-27,7.134369233510001,19.1703253322,13.15
2020-02-28,7.53804378892,21.963194370300002,14.75
2020-02-29,10.9912298167,16.5978081197,13.79
2020-03-01,11.615008960499999,16.640947071099998,14.13
2020-03-02,9.99618406943,15.849735301199999,12.92
2020-03-03,11.317827698599999,17.2344652871,14.28
2020-03-04,14.202542834800001,18.6237921126,16.41
2020-03-05,10.5739874457,15.8442347462,13.21
2020-03-06,6.87562420486,14.9701429032,10.92
2020-03-07,3.668079209180001,18.407810546700002,11.04
2020-03-08,5.37284013371,14.840050803299999,10.11
2020-03-09,7.537103570539999,17.539795298599998,12.54
2020-03-10,6.21959008258,21.6937339041,13.96
2020-03-11,7.69456669725,24.4791490767,16.09
2020-03-12,11.50906813,20.6148383823,16.06
2020-03-13,9.3634716552,19.0472422588,14.21
2020-03-14,9.3634716552,19.0472422588,14.21
2020-03-15,9.3634716552,19.0472422588,14.21
2020-03-16,3.1809403028,14.5620676618,8.87
2020-03-17,8.27309460993,20.3544871366,14.31
2020-03-18,9.187428489139998,23.0924511015,16.14
2020-03-19,10.5005336426,22.3565215652,16.43
2020-03-20,10.300497375900001,13.517981293800002,11.91
2020-03-21,7.48381295763,16.78702257,12.14
2020-03-22,5.57195637991,19.199753331500002,12.39
2020-03-23,8.18078424018,21.023678497,14.6
2020-03-24,7.479401734139999,21.615360501399998,14.55
2020-03-25,7.54005755171,20.1115384573,13.83
2020-03-26,8.12777559404,16.6656591804,12.4
2020-03-27,7.930579103069999,19.2051337913,13.57
2020-03-28,7.04690375151,20.621433558299998,13.83
2020-03-29,7.10047435025,19.6454946789,13.37
2020-03-30,6.09760373316,12.8539415789,9.48
2020-03-31,3.9896860027,8.861859306880001,6.43
2020-04-01,4.2510687076,13.102283778,8.68
2020-04-02,2.98283683591,18.9591620351,10.97
2020-04-03,5.2646584378300005,22.806170905100004,14.04
2020-04-04,8.29699393261,19.7434097396,14.02
2020-04-05,13.2677148154,18.5630167208,15.92
2020-04-06,11.365971735999999,18.912421691600002,15.14
2020-04-07,13.857730112,22.9187419032,18.39
2020-04-08,11.7652637782,22.0767703763,16.92
2020-04-09,14.578185019700001,19.282498707000002,16.93
2020-04-10,13.7441415375,19.1832335613,16.46
2020-04-11,12.9716771679,18.5137047414,15.74
2020-04-12,12.4803512479,19.8905813547,16.19
2020-04-13,8.79476657031,14.856271105,11.83
2020-04-14,7.92418073725,20.7213861501,14.32
2020-04-15,10.2404777032,17.0983866468,13.67
2020-04-16,12.039961706,19.1953758252,15.62
2020-04-17,10.283663058,19.735837288800003,15.01
2020-04-18,8.290583698839999,20.7043428656,14.5
2020-04-19,9.90130133099,18.9332797086,14.42
2020-04-20,8.81770207852,16.649142094600002,12.73
2020-04-21,7.03384923788,17.3143287411,12.17
2020-04-22,10.3129383017,18.936936714,14.62
2020-04-23,10.212413290399999,22.666869864099997,16.44
2020-04-24,9.45883096295,21.6737391802,15.57
2020-04-25,9.38649124569,18.1636163806,13.78
2020-04-26,8.864755059470001,17.0331556414,12.95
2020-04-27,10.6270929737,17.9128702187,14.27
2020-04-28,10.3996052094,18.6228190587,14.51
2020-04-29,11.0274694908,18.4210187064,14.72
2020-04-30,12.4982490922,20.413100878399998,16.46
2020-05-01,14.765065081300001,20.5461532628,17.66
2020-05-02,12.8036508001,23.810819478699997,18.31
2020-05-03,11.4882008794,31.5405840815,21.51
2020-05-04,13.993526909100002,22.7378517904,18.37
2020-05-05,11.6230992241,22.896987508800002,17.26
2020-05-06,11.5866565469,23.599853462600002,17.59
2020-05-07,13.117538458,25.988654266199998,19.55
2020-05-08,14.6359879823,21.099447374,17.87
2020-05-09,11.4185836403,20.8892601684,16.15
2020-05-10,10.5655479225,20.1333987212,15.35
2020-05-11,12.9189466635,19.6530953278,16.29
2020-05-12,9.90922797756,21.7925552733,15.85
2020-05-13,10.9039250009,17.4444739436,14.17
2020-05-14,9.6945308285,20.6932893918,15.19
2020-05-15,12.658160665899999,21.9202904525,17.29
2020-05-16,12.291839111,24.9603080808,18.63
2020-05-17,10.5431684888,26.438085662,18.49
