date,minimum,maximum,range,mean,std
2020-01-30,17.6416091919,17.7999973297,0.158388137817,17.7649634872,0.0382164637054
2020-01-31,18.304857254,18.5999965668,0.295139312744,18.5352519257,0.0703773347363
2020-02-01,18.6000022888,18.7980480194,0.198045730591,18.637487662,0.0436380840005
2020-02-02,21.8000030518,22.0550861359,0.255083084106,21.8481919934,0.0570353959489
2020-02-03,20.6000041962,20.9861698151,0.386165618896,20.6805742823,0.0885414914235
2020-02-04,21.500005722,21.9838352203,0.483829498291,21.6004506121,0.111150006308
2020-02-05,18.8000030518,18.9182071686,0.118204116821,18.8233166223,0.0257366898024
2020-02-06,18.0433769226,18.2999954224,0.256618499756,18.242565627,0.061197149703
2020-02-07,18.505147934,18.5999984741,0.0948505401611,18.5751581577,0.0244209961426
2020-02-08,18.4808311462,18.5999984741,0.119167327881,18.5701823283,0.0297675348151
2020-02-09,17.0425186157,17.1313362122,0.0888175964355,17.0941759071,0.0131362892896
2020-02-10,20.1713695526,20.2489433289,0.0775737762451,20.2033385556,0.0116998700342
2020-02-11,18.7000007629,18.7793006897,0.0792999267578,18.7136386717,0.01741144405
2020-02-12,17.3387260437,17.4999980927,0.16127204895,17.4626576202,0.0392175209445
2020-02-13,18.2588157654,18.3446273804,0.0858116149902,18.2997076728,0.0112449657293
2020-02-14,19.1000003815,19.2533473969,0.153347015381,19.1251367704,0.0339899866034
2020-02-15,18.9000015259,19.0149822235,0.114980697632,18.9214063702,0.0253898441344
2020-02-16,18.6000022888,18.8622608185,0.262258529663,18.6476153171,0.0574253105404
2020-02-17,19.7820014954,19.9999961853,0.217994689941,19.9523018538,0.0530417189587
2020-02-18,19.6829471588,20.2999916077,0.617044448853,20.1669115587,0.144270678897
2020-02-19,19.7695598602,19.8212985992,0.0517387390137,19.7971717854,0.00823374549624
2020-02-20,19.809589386,19.8999977112,0.0904083251953,19.8760525964,0.0237898550046
2020-02-21,18.9000034332,19.2787094116,0.378705978394,18.9754844916,0.0854416505546
2020-02-22,21.5888767242,21.6435127258,0.0546360015869,21.6022223656,0.00844946921088
2020-02-23,20.4000053406,20.815580368,0.415575027466,20.4835778053,0.094227669576
2020-02-24,19.4000034332,19.7055606842,0.305557250977,19.4640264607,0.0703617890308
2020-02-26,20.0459308624,20.6999912262,0.65406036377,20.5585845793,0.152986284478
2020-02-27,20.0000019073,20.1506690979,0.150667190552,20.0257650048,0.0340350569209
2020-02-28,20.0745983124,20.175699234,0.101100921631,20.1118006465,0.0191031580717
2020-02-29,18.3631534576,18.4999961853,0.136842727661,18.4654465011,0.0351612221949
2020-03-01,18.5601711273,18.5999984741,0.0398273468018,18.5882529442,0.0105349819742
2020-03-02,20.3200778961,20.799993515,0.479915618896,20.6943683432,0.113751054508
2020-03-03,18.1548423767,18.2192115784,0.0643692016602,18.1945956355,0.0108302166529
2020-03-04,19.772315979,19.9122982025,0.139982223511,19.8116796089,0.0256273656738
2020-03-05,20.0629405975,20.499994278,0.43705368042,20.4029111381,0.103899015087
2020-03-06,19.9700374603,20.5999908447,0.629953384399,20.4640373461,0.147212119911
2020-03-07,19.5000019073,19.6583118439,0.158309936523,19.5280036445,0.0350183957765
2020-03-08,19.4000034332,19.8480491638,0.448045730591,19.4851677923,0.100893969171
2020-03-09,25.0580425262,25.7999897003,0.741947174072,25.6399767327,0.173065480521
2020-03-10,25.5,25.7236804962,0.223680496216,25.539350789,0.0485040561429
2020-03-11,25.2637767792,25.3748321533,0.111055374146,25.3100903444,0.0186059807714
2020-03-12,18.8000068665,19.5207366943,0.720729827881,18.942148854,0.1626861161
2020-03-13,18.6000022888,18.8813800812,0.281377792358,18.6535988817,0.0625839056367
2020-03-16,18.485786438,18.9999923706,0.514205932617,18.8850542512,0.122290932914
2020-03-17,14.1312360764,14.1999979019,0.0687618255615,14.1840183759,0.0165464014194
2020-03-18,22.2751979828,22.3524208069,0.0772228240967,22.3029342228,0.0129888988268
2020-03-19,19.9674263,20.0165843964,0.0491580963135,19.9963919418,0.00792835427172
2020-03-20,15.6052789688,15.6999979019,0.0947189331055,15.6759002714,0.0246283285462
2020-03-21,16.3310585022,16.799993515,0.468935012817,16.7022433425,0.108608635252
2020-03-22,15.8000020981,15.9796619415,0.179659843445,15.8349647955,0.0404004220309
2020-03-23,17.4000015259,17.5547618866,0.154760360718,17.4310710599,0.0352420130353
2020-03-24,19.3000011444,19.4735946655,0.173593521118,19.3319826222,0.0388588779067
2020-03-25,18.9399681091,18.9999980927,0.0600299835205,18.9847542638,0.0139578510297
2020-03-26,21.4788837433,21.799993515,0.321109771729,21.7259904495,0.0785043396256
2020-03-27,18.4169273376,18.799993515,0.383066177368,18.7158693834,0.0903331163312
2020-03-28,18.7770595551,18.9999961853,0.222936630249,18.9481614431,0.0539494162816
2020-03-29,18.6517524719,18.6999988556,0.048246383667,18.6855752059,0.0131243445393
2020-03-30,16.122051239,16.2999954224,0.17794418335,16.2555872888,0.0469609983039
2020-03-31,16.8136978149,16.9999961853,0.186298370361,16.9542236617,0.0493974138758
2020-04-01,16.4119510651,16.6999950409,0.28804397583,16.6356726367,0.0685955919647
2020-04-02,19.1398239136,19.499994278,0.36017036438,19.4180192851,0.086873286734
2020-04-03,19.7000007629,19.9073505402,0.207349777222,19.7373262174,0.0454522201387
2020-04-04,18.9134407043,19.0999965668,0.186555862427,19.0576316178,0.0452641816716
2020-04-05,19.0014266968,19.0999984741,0.0985717773438,19.0757804543,0.0243284364087
2020-04-06,19.2000007629,19.4152889252,0.215288162231,19.237816512,0.0462623003265
