,mean_2014_2019,month,month_day,month_num,data
156,17.0,Jun,05,06,2020-06-05
157,15.0,Jun,06,06,2020-06-06
158,18.0,Jun,07,06,2020-06-07
159,18.0,Jun,08,06,2020-06-08
160,16.0,Jun,09,06,2020-06-09
161,15.0,Jun,10,06,2020-06-10
162,17.0,Jun,11,06,2020-06-11
163,14.0,Jun,12,06,2020-06-12
164,17.0,Jun,13,06,2020-06-13
165,15.0,Jun,14,06,2020-06-14
166,17.0,Jun,15,06,2020-06-15
167,16.0,Jun,16,06,2020-06-16
168,16.0,Jun,17,06,2020-06-17
169,17.0,Jun,18,06,2020-06-18
170,17.0,Jun,19,06,2020-06-19
171,18.0,Jun,20,06,2020-06-20
172,17.0,Jun,21,06,2020-06-21
173,16.0,Jun,22,06,2020-06-22
174,15.0,Jun,23,06,2020-06-23
175,16.0,Jun,24,06,2020-06-24
176,16.0,Jun,25,06,2020-06-25
177,15.0,Jun,26,06,2020-06-26
178,13.0,Jun,27,06,2020-06-27
179,16.0,Jun,28,06,2020-06-28
180,18.0,Jun,29,06,2020-06-29
181,19.0,Jun,30,06,2020-06-30
182,17.0,Jul,01,07,2020-07-01
183,16.0,Jul,02,07,2020-07-02
184,17.0,Jul,03,07,2020-07-03
185,12.0,Jul,04,07,2020-07-04
186,15.0,Jul,05,07,2020-07-05
187,13.0,Jul,06,07,2020-07-06
188,12.0,Jul,07,07,2020-07-07
189,13.0,Jul,08,07,2020-07-08
190,13.0,Jul,09,07,2020-07-09
191,15.0,Jul,10,07,2020-07-10
192,13.0,Jul,11,07,2020-07-11
193,15.0,Jul,12,07,2020-07-12
194,15.0,Jul,13,07,2020-07-13
195,15.0,Jul,14,07,2020-07-14
196,13.0,Jul,15,07,2020-07-15
197,16.0,Jul,16,07,2020-07-16
198,17.0,Jul,17,07,2020-07-17
199,15.0,Jul,18,07,2020-07-18
200,14.0,Jul,19,07,2020-07-19
201,16.0,Jul,20,07,2020-07-20
202,14.0,Jul,21,07,2020-07-21
203,14.0,Jul,22,07,2020-07-22
204,17.0,Jul,23,07,2020-07-23
205,17.0,Jul,24,07,2020-07-24
206,16.0,Jul,25,07,2020-07-25
207,18.0,Jul,26,07,2020-07-26
208,16.0,Jul,27,07,2020-07-27
209,15.0,Jul,28,07,2020-07-28
210,14.0,Jul,29,07,2020-07-29
211,15.0,Jul,30,07,2020-07-30
212,15.0,Jul,31,07,2020-07-31
213,14.0,Ago,01,08,2020-08-01
214,14.0,Ago,02,08,2020-08-02
215,15.0,Ago,03,08,2020-08-03
216,15.0,Ago,04,08,2020-08-04
217,16.0,Ago,05,08,2020-08-05
218,18.0,Ago,06,08,2020-08-06
219,18.0,Ago,07,08,2020-08-07
220,15.0,Ago,08,08,2020-08-08
221,16.0,Ago,09,08,2020-08-09
222,13.0,Ago,10,08,2020-08-10
223,16.0,Ago,11,08,2020-08-11
224,13.0,Ago,12,08,2020-08-12
225,16.0,Ago,13,08,2020-08-13
226,17.0,Ago,14,08,2020-08-14
227,13.0,Ago,15,08,2020-08-15
228,14.0,Ago,16,08,2020-08-16
229,17.0,Ago,17,08,2020-08-17
230,17.0,Ago,18,08,2020-08-18
231,13.0,Ago,19,08,2020-08-19
232,15.0,Ago,20,08,2020-08-20
233,17.0,Ago,21,08,2020-08-21
234,16.0,Ago,22,08,2020-08-22
235,15.0,Ago,23,08,2020-08-23
236,17.0,Ago,24,08,2020-08-24
237,18.0,Ago,25,08,2020-08-25
238,16.0,Ago,26,08,2020-08-26
239,17.0,Ago,27,08,2020-08-27
240,17.0,Ago,28,08,2020-08-28
241,18.0,Ago,29,08,2020-08-29
242,13.0,Ago,30,08,2020-08-30
243,14.0,Ago,31,08,2020-08-31
244,16.0,Set,01,09,2020-09-01
245,18.0,Set,02,09,2020-09-02
246,15.0,Set,03,09,2020-09-03
247,14.0,Set,04,09,2020-09-04
248,17.0,Set,05,09,2020-09-05
249,16.0,Set,06,09,2020-09-06
250,15.0,Set,07,09,2020-09-07
251,16.0,Set,08,09,2020-09-08
252,14.0,Set,09,09,2020-09-09
253,15.0,Set,10,09,2020-09-10
254,14.0,Set,11,09,2020-09-11
255,15.0,Set,12,09,2020-09-12
256,15.0,Set,13,09,2020-09-13
257,16.0,Set,14,09,2020-09-14
258,13.0,Set,15,09,2020-09-15
259,14.0,Set,16,09,2020-09-16
260,12.0,Set,17,09,2020-09-17
261,13.0,Set,18,09,2020-09-18
262,14.0,Set,19,09,2020-09-19
263,18.0,Set,20,09,2020-09-20
264,17.0,Set,21,09,2020-09-21
265,14.0,Set,22,09,2020-09-22
266,15.0,Set,23,09,2020-09-23
267,14.0,Set,24,09,2020-09-24
268,13.0,Set,25,09,2020-09-25
269,14.0,Set,26,09,2020-09-26
270,15.0,Set,27,09,2020-09-27
271,16.0,Set,28,09,2020-09-28
272,17.0,Set,29,09,2020-09-29
273,14.0,Set,30,09,2020-09-30
274,16.0,Out,01,10,2020-10-01
275,15.0,Out,02,10,2020-10-02
276,16.0,Out,03,10,2020-10-03
277,16.0,Out,04,10,2020-10-04
278,17.0,Out,05,10,2020-10-05
279,14.0,Out,06,10,2020-10-06
280,16.0,Out,07,10,2020-10-07
281,13.0,Out,08,10,2020-10-08
282,16.0,Out,09,10,2020-10-09
283,15.0,Out,10,10,2020-10-10
284,17.0,Out,11,10,2020-10-11
285,14.0,Out,12,10,2020-10-12
286,16.0,Out,13,10,2020-10-13
287,15.0,Out,14,10,2020-10-14
288,13.0,Out,15,10,2020-10-15
289,15.0,Out,16,10,2020-10-16
290,15.0,Out,17,10,2020-10-17
291,20.0,Out,18,10,2020-10-18
292,17.0,Out,19,10,2020-10-19
293,13.0,Out,20,10,2020-10-20
294,15.0,Out,21,10,2020-10-21
295,16.0,Out,22,10,2020-10-22
296,16.0,Out,23,10,2020-10-23
297,15.0,Out,24,10,2020-10-24
298,15.0,Out,25,10,2020-10-25
299,15.0,Out,26,10,2020-10-26
300,17.0,Out,27,10,2020-10-27
301,15.0,Out,28,10,2020-10-28
302,17.0,Out,29,10,2020-10-29
303,16.0,Out,30,10,2020-10-30
304,18.0,Out,31,10,2020-10-31
305,17.0,Nov,01,11,2020-11-01
306,18.0,Nov,02,11,2020-11-02
307,16.0,Nov,03,11,2020-11-03
308,15.0,Nov,04,11,2020-11-04
309,14.0,Nov,05,11,2020-11-05
310,16.0,Nov,06,11,2020-11-06
311,14.0,Nov,07,11,2020-11-07
312,15.0,Nov,08,11,2020-11-08
313,18.0,Nov,09,11,2020-11-09
314,16.0,Nov,10,11,2020-11-10
315,16.0,Nov,11,11,2020-11-11
316,20.0,Nov,12,11,2020-11-12
317,17.0,Nov,13,11,2020-11-13
318,16.0,Nov,14,11,2020-11-14
319,15.0,Nov,15,11,2020-11-15
320,17.0,Nov,16,11,2020-11-16
321,14.0,Nov,17,11,2020-11-17
322,16.0,Nov,18,11,2020-11-18
323,17.0,Nov,19,11,2020-11-19
324,18.0,Nov,20,11,2020-11-20
325,17.0,Nov,21,11,2020-11-21
326,19.0,Nov,22,11,2020-11-22
327,19.0,Nov,23,11,2020-11-23
328,18.0,Nov,24,11,2020-11-24
329,18.0,Nov,25,11,2020-11-25
330,19.0,Nov,26,11,2020-11-26
331,20.0,Nov,27,11,2020-11-27
