,mean_2014_2019,month,month_day,month_num,data
106,53.0,Abr,16,04,2020-04-16
107,50.0,Abr,17,04,2020-04-17
108,44.0,Abr,18,04,2020-04-18
109,44.0,Abr,19,04,2020-04-19
110,45.0,Abr,20,04,2020-04-20
111,47.0,Abr,21,04,2020-04-21
112,44.0,Abr,22,04,2020-04-22
113,47.0,Abr,23,04,2020-04-23
114,46.0,Abr,24,04,2020-04-24
115,46.0,Abr,25,04,2020-04-25
116,43.0,Abr,26,04,2020-04-26
117,45.0,Abr,27,04,2020-04-27
118,47.0,Abr,28,04,2020-04-28
119,42.0,Abr,29,04,2020-04-29
120,43.0,Abr,30,04,2020-04-30
121,45.0,Mai,01,05,2020-05-01
122,48.0,Mai,02,05,2020-05-02
123,47.0,Mai,03,05,2020-05-03
124,51.0,Mai,04,05,2020-05-04
125,48.0,Mai,05,05,2020-05-05
126,44.0,Mai,06,05,2020-05-06
127,45.0,Mai,07,05,2020-05-07
128,47.0,Mai,08,05,2020-05-08
129,45.0,Mai,09,05,2020-05-09
130,46.0,Mai,10,05,2020-05-10
131,45.0,Mai,11,05,2020-05-11
132,42.0,Mai,12,05,2020-05-12
133,43.0,Mai,13,05,2020-05-13
134,40.0,Mai,14,05,2020-05-14
135,46.0,Mai,15,05,2020-05-15
136,48.0,Mai,16,05,2020-05-16
137,47.0,Mai,17,05,2020-05-17
138,46.0,Mai,18,05,2020-05-18
139,42.0,Mai,19,05,2020-05-19
140,45.0,Mai,20,05,2020-05-20
141,40.0,Mai,21,05,2020-05-21
142,48.0,Mai,22,05,2020-05-22
143,47.0,Mai,23,05,2020-05-23
144,45.0,Mai,24,05,2020-05-24
145,45.0,Mai,25,05,2020-05-25
146,46.0,Mai,26,05,2020-05-26
147,46.0,Mai,27,05,2020-05-27
148,43.0,Mai,28,05,2020-05-28
149,47.0,Mai,29,05,2020-05-29
150,44.0,Mai,30,05,2020-05-30
151,42.0,Mai,31,05,2020-05-31
152,46.0,Jun,01,06,2020-06-01
153,40.0,Jun,02,06,2020-06-02
154,48.0,Jun,03,06,2020-06-03
155,45.0,Jun,04,06,2020-06-04
