"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Mai-24","10","8","16","16","8","20","16"
"Mai-25","9","8","19","13","10","11","19"
"Mai-26","7","9","9","14","12","17","16"
"Mai-27","5","11","10","8","18","18","23"
"Mai-28","5","16","14","13","14","12","12"
"Mai-29","12","12","17","22","17","8","12"
"Mai-30","9","11","9","14","17","11","11"
"Mai-31","11","14","14","10","11","10","9"
"Jun-01","12","13","9","14","9","10","14"
"Jun-02","11","12","11","9","14","17","12"
"Jun-03","17","10","12","10","15","12","20"
"Jun-04","13","9","7","14","8","13","18"
"Jun-05","14","12","13","6","19","14","17"
"Jun-06","20","11","7","12","13","10","17"
"Jun-07","15","14","12","17","12","16","10"
"Jun-08","12","9","13","16","9","18","8"
"Jun-09","17","24","13","22","7","13","12"
"Jun-10","4","12","20","5","10","17","10"
"Jun-11","8","10","11","14","12","16","10"
"Jun-12","12","13","11","13","16","11","9"
"Jun-13","12","12","18","19","14","9","10"
"Jun-14","20","12","12","10","9","12","8"
"Jun-15","16","13","14","11","11","9","4"
"Jun-16","14","6","9","14","15","7","8"
"Jun-17","15","12","19","10","13","12","13"
"Jun-18","10","8","11","17","14","13","8"
"Jun-19","9","9","11","27","13","11","8"
"Jun-20","11","10","12","11","11","14","11"
"Jun-21","8","9","12","19","13","12",""
"Jun-22","10","9","13","19","8","9",""
"Jun-23","13","11","13","9","2","5",""
"Jun-24","11","12","22","10","7","13",""
"Jun-25","12","5","13","23","17","11",""
"Jun-26","15","7","11","16","18","13",""
"Jun-27","11","9","10","20","13","17",""
"Jun-28","14","13","15","14","11","14",""
"Jun-29","8","11","15","8","16","12",""
"Jun-30","14","10","15","10","15","13",""
"Jul-01","10","13","14","9","12","16",""
"Jul-02","9","9","16","6","18","10",""
"Jul-03","19","14","17","14","6","19",""
"Jul-04","18","7","20","20","10","12",""
"Jul-05","10","14","18","13","13","10",""
"Jul-06","10","13","17","12","14","13",""
"Jul-07","8","9","14","18","16","7",""
"Jul-08","14","13","7","6","10","9",""
"Jul-09","9","14","9","6","12","17",""
