"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Mai-24","90","74","102","109","91","95","115"
"Mai-25","75","100","106","88","82","98","129"
"Mai-26","72","100","97","85","99","106","108"
"Mai-27","99","122","96","99","105","80","107"
"Mai-28","98","101","112","75","105","78","95"
"Mai-29","93","108","84","98","90","89","123"
"Mai-30","92","93","101","79","103","99","98"
"Mai-31","94","105","93","91","114","94","105"
"Jun-01","83","79","92","84","107","110","113"
"Jun-02","78","96","81","75","110","92","121"
"Jun-03","103","88","107","89","92","94","92"
"Jun-04","73","71","98","75","106","110","105"
"Jun-05","92","88","83","104","113","89","112"
"Jun-06","104","91","97","82","87","90","103"
"Jun-07","85","79","92","78","85","87","88"
"Jun-08","89","95","86","92","92","92","95"
"Jun-09","95","98","101","94","103","72","82"
"Jun-10","92","83","99","103","99","81","101"
"Jun-11","92","100","86","102","87","96","90"
"Jun-12","97","83","85","109","66","81","82"
"Jun-13","90","78","69","95","91","89","92"
"Jun-14","81","92","107","112","100","78","96"
"Jun-15","92","88","82","79","97","99","98"
"Jun-16","121","77","83","84","87","89","102"
"Jun-17","83","80","91","93","94","85","124"
"Jun-18","95","82","92","142","97","89","93"
"Jun-19","91","97","75","126","114","101","90"
"Jun-20","94","114","105","112","114","84","50"
"Jun-21","109","98","98","125","111","94",""
"Jun-22","95","100","105","111","87","80",""
"Jun-23","88","89","89","104","102","108",""
"Jun-24","75","99","92","83","82","87",""
"Jun-25","62","77","101","72","92","103",""
"Jun-26","70","78","73","102","94","86",""
"Jun-27","82","89","108","87","102","97",""
"Jun-28","86","89","83","96","92","67",""
"Jun-29","83","99","84","88","89","94",""
"Jun-30","84","93","85","80","88","86",""
"Jul-01","83","86","90","80","82","94",""
"Jul-02","83","77","80","85","104","90",""
"Jul-03","92","81","77","89","96","83",""
"Jul-04","89","59","116","85","90","84",""
"Jul-05","87","81","99","98","82","94",""
"Jul-06","83","88","90","85","83","84",""
"Jul-07","75","107","84","84","77","102",""
"Jul-08","90","92","93","71","90","99",""
"Jul-09","88","89","79","81","87","91",""
"Jul-10","96","88","89","83","82","86",""
"Jul-11","81","87","100","69","102","93",""
"Jul-12","77","103","88","88","100","99",""
"Jul-13","88","81","98","96","80","89",""
"Jul-14","87","98","94","88","72","103",""
"Jul-15","96","94","95","88","67","85",""
"Jul-16","103","72","108","75","91","99",""
"Jul-17","83","96","108","102","91","86",""
"Jul-18","95","87","86","80","92","74",""
"Jul-19","80","87","118","90","83","98",""
"Jul-20","57","80","109","84","77","80",""
"Jul-21","74","89","99","89","88","90",""
"Jul-22","84","81","73","76","83","85",""
"Jul-23","92","73","84","78","90","89",""
"Jul-24","96","95","81","91","104","77",""
"Jul-25","71","73","105","78","98","112",""
"Jul-26","84","71","113","90","93","79",""
"Jul-27","82","90","95","81","83","95",""
"Jul-28","89","91","113","91","90","96",""
"Jul-29","72","89","89","81","85","114",""
"Jul-30","84","76","104","95","77","72",""
"Jul-31","88","82","83","105","96","86",""
"Ago-01","74","71","101","78","88","78",""
"Ago-02","84","84","84","95","96","108",""
"Ago-03","68","105","74","83","113","95",""
"Ago-04","92","85","71","88","136","79",""
"Ago-05","93","87","93","84","244","79",""
"Ago-06","80","95","96","85","227","87",""
"Ago-07","97","79","82","80","127","76",""
"Ago-08","80","86","107","91","113","100",""
"Ago-09","78","85","108","71","122","92",""
"Ago-10","99","94","118","84","83","83",""
"Ago-11","81","83","97","80","91","80",""
"Ago-12","81","86","86","100","87","78",""
"Ago-13","96","79","93","94","98","84",""
"Ago-14","96","88","97","93","103","84",""
"Ago-15","77","75","93","77","100","91",""
"Ago-16","96","97","97","80","91","84",""
"Ago-17","81","80","89","79","92","95",""
"Ago-18","84","91","89","94","114","85",""
"Ago-19","92","68","80","85","80","83",""
"Ago-20","92","97","79","82","97","91",""
"Ago-21","96","79","100","98","127","100",""
"Ago-22","85","90","93","104","102","94",""
"Ago-23","78","99","115","102","103","114",""
"Ago-24","83","76","95","99","91","107",""
"Ago-25","75","81","84","83","93","84",""
"Ago-26","92","99","84","95","89","105",""
"Ago-27","81","72","85","81","80","84",""
"Ago-28","77","82","84","86","80","92",""
"Ago-29","85","88","100","92","72","93",""
"Ago-30","96","108","92","97","88","98",""
"Ago-31","75","74","91","87","82","90",""
"Set-01","113","93","84","90","91","79",""
"Set-02","97","88","83","65","100","76",""
"Set-03","86","86","79","74","91","113",""
"Set-04","76","86","94","103","104","98",""
"Set-05","85","85","114","80","84","100",""
"Set-06","82","68","102","67","85","92",""
"Set-07","107","79","95","88","80","102",""
"Set-08","84","95","101","78","99","114",""
"Set-09","90","104","87","94","79","79",""
"Set-10","87","83","76","91","72","81",""
"Set-11","108","76","84","100","89","86",""
"Set-12","80","76","101","100","85","87",""
"Set-13","84","77","79","90","98","103",""
"Set-14","83","73","82","102","83","101",""
"Set-15","85","78","79","69","83","75",""
"Set-16","91","64","97","77","99","96",""
"Set-17","90","67","75","85","87","97",""
"Set-18","93","83","104","99","101","93",""
"Set-19","79","77","90","87","90","86",""
"Set-20","88","81","88","90","107","109",""
"Set-21","65","95","86","84","83","96",""
"Set-22","91","87","82","104","102","86",""
"Set-23","97","103","82","88","81","86",""
"Set-24","78","86","87","89","79","87",""
"Set-25","75","69","96","97","100","78",""
"Set-26","74","69","86","82","104","74",""
"Set-27","78","94","95","74","107","83",""
"Set-28","76","104","95","80","111","93",""
"Set-29","88","95","84","113","77","88",""
"Set-30","77","96","92","102","85","94",""
"Out-01","90","89","79","105","89","91",""
"Out-02","95","89","108","104","75","93",""
"Out-03","86","81","101","111","96","79",""
"Out-04","103","98","95","93","88","98",""
"Out-05","91","86","81","101","95","90",""
"Out-06","91","95","94","89","92","92",""
"Out-07","107","76","78","87","95","90",""
"Out-08","84","80","92","105","85","94",""
