,2020,month,month_day,month_num,data
82,10.0,Mar,23,03,2020-03-23
83,14.0,Mar,24,03,2020-03-24
84,18.0,Mar,25,03,2020-03-25
85,25.0,Mar,26,03,2020-03-26
86,21.0,Mar,27,03,2020-03-27
87,15.0,Mar,28,03,2020-03-28
88,15.0,Mar,29,03,2020-03-29
89,21.0,Mar,30,03,2020-03-30
90,15.0,Mar,31,03,2020-03-31
91,15.0,Abr,01,04,2020-04-01
92,13.0,Abr,02,04,2020-04-02
93,13.0,Abr,03,04,2020-04-03
94,20.0,Abr,04,04,2020-04-04
95,15.0,Abr,05,04,2020-04-05
96,17.0,Abr,06,04,2020-04-06
97,13.0,Abr,07,04,2020-04-07
98,25.0,Abr,08,04,2020-04-08
99,12.0,Abr,09,04,2020-04-09
100,15.0,Abr,10,04,2020-04-10
101,18.0,Abr,11,04,2020-04-11
102,16.0,Abr,12,04,2020-04-12
103,17.0,Abr,13,04,2020-04-13
104,12.0,Abr,14,04,2020-04-14
105,16.0,Abr,15,04,2020-04-15
106,17.0,Abr,16,04,2020-04-16
107,19.0,Abr,17,04,2020-04-17
108,12.0,Abr,18,04,2020-04-18
109,14.0,Abr,19,04,2020-04-19
110,16.0,Abr,20,04,2020-04-20
111,16.0,Abr,21,04,2020-04-21
112,13.0,Abr,22,04,2020-04-22
113,20.0,Abr,23,04,2020-04-23
114,14.0,Abr,24,04,2020-04-24
115,21.0,Abr,25,04,2020-04-25
116,11.0,Abr,26,04,2020-04-26
117,13.0,Abr,27,04,2020-04-27
118,19.0,Abr,28,04,2020-04-28
119,7.0,Abr,29,04,2020-04-29
120,9.0,Abr,30,04,2020-04-30
121,13.0,Mai,01,05,2020-05-01
122,14.0,Mai,02,05,2020-05-02
123,10.0,Mai,03,05,2020-05-03
124,18.0,Mai,04,05,2020-05-04
125,18.0,Mai,05,05,2020-05-05
126,14.0,Mai,06,05,2020-05-06
127,15.0,Mai,07,05,2020-05-07
128,16.0,Mai,08,05,2020-05-08
129,9.0,Mai,09,05,2020-05-09
130,7.0,Mai,10,05,2020-05-10
131,11.0,Mai,11,05,2020-05-11
132,13.0,Mai,12,05,2020-05-12
133,11.0,Mai,13,05,2020-05-13
134,7.0,Mai,14,05,2020-05-14
135,12.0,Mai,15,05,2020-05-15
136,8.0,Mai,16,05,2020-05-16
137,14.0,Mai,17,05,2020-05-17
138,12.0,Mai,18,05,2020-05-18
139,11.0,Mai,19,05,2020-05-19
140,15.0,Mai,20,05,2020-05-20
141,18.0,Mai,21,05,2020-05-21
142,16.0,Mai,22,05,2020-05-22
143,21.0,Mai,23,05,2020-05-23
144,16.0,Mai,24,05,2020-05-24
145,19.0,Mai,25,05,2020-05-25
146,16.0,Mai,26,05,2020-05-26
147,23.0,Mai,27,05,2020-05-27
148,12.0,Mai,28,05,2020-05-28
149,12.0,Mai,29,05,2020-05-29
150,11.0,Mai,30,05,2020-05-30
151,9.0,Mai,31,05,2020-05-31
152,14.0,Jun,01,06,2020-06-01
153,12.0,Jun,02,06,2020-06-02
154,20.0,Jun,03,06,2020-06-03
155,18.0,Jun,04,06,2020-06-04
156,17.0,Jun,05,06,2020-06-05
157,17.0,Jun,06,06,2020-06-06
158,10.0,Jun,07,06,2020-06-07
159,8.0,Jun,08,06,2020-06-08
160,12.0,Jun,09,06,2020-06-09
161,10.0,Jun,10,06,2020-06-10
162,10.0,Jun,11,06,2020-06-11
163,9.0,Jun,12,06,2020-06-12
164,10.0,Jun,13,06,2020-06-13
165,8.0,Jun,14,06,2020-06-14
166,4.0,Jun,15,06,2020-06-15
167,8.0,Jun,16,06,2020-06-16
168,13.0,Jun,17,06,2020-06-17
169,8.0,Jun,18,06,2020-06-18
170,8.0,Jun,19,06,2020-06-19
171,11.0,Jun,20,06,2020-06-20
