"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Mai-24","38","58","43","61","62","50","55"
"Mai-25","50","39","54","56","50","60","63"
"Mai-26","46","50","44","69","55","58","66"
"Mai-27","39","65","52","50","59","54","64"
"Mai-28","55","56","44","44","46","51","60"
"Mai-29","45","57","46","67","56","53","67"
"Mai-30","42","46","62","56","41","57","53"
"Mai-31","50","44","56","38","46","58","79"
"Jun-01","54","44","61","60","44","54","52"
"Jun-02","35","49","47","52","41","56","54"
"Jun-03","56","51","65","58","49","55","47"
"Jun-04","39","59","68","41","46","57","50"
"Jun-05","45","55","52","35","61","58","47"
"Jun-06","42","48","62","45","47","39","51"
"Jun-07","48","51","55","44","52","53","58"
"Jun-08","50","43","51","55","65","38","50"
"Jun-09","42","50","42","52","56","42","49"
"Jun-10","56","59","53","45","51","49","46"
"Jun-11","42","50","62","47","54","48","52"
"Jun-12","43","53","55","62","46","50","57"
"Jun-13","64","42","51","49","55","50","49"
"Jun-14","47","41","38","47","69","39","49"
"Jun-15","55","44","49","42","62","59","45"
"Jun-16","52","47","44","48","50","56","47"
"Jun-17","54","58","37","66","60","49","45"
"Jun-18","53","57","45","99","63","40","42"
"Jun-19","52","51","46","72","71","57","41"
"Jun-20","47","58","60","55","65","64","24"
"Jun-21","43","68","58","61","52","55",""
"Jun-22","49","47","65","63","61","55",""
"Jun-23","41","59","46","61","49","52",""
"Jun-24","51","37","53","50","56","61",""
"Jun-25","50","37","57","56","54","53",""
"Jun-26","47","43","45","54","54","53",""
"Jun-27","44","46","56","40","59","50",""
"Jun-28","44","50","53","48","51","44",""
"Jun-29","45","52","58","52","54","55",""
"Jun-30","48","58","48","39","55","61",""
"Jul-01","48","51","52","48","50","41",""
"Jul-02","47","50","46","42","39","60",""
"Jul-03","45","41","57","68","52","56",""
"Jul-04","61","40","65","54","53","50",""
"Jul-05","46","41","45","43","43","64",""
"Jul-06","58","51","65","40","53","43",""
"Jul-07","53","51","59","50","48","49",""
"Jul-08","42","49","52","40","52","57",""
"Jul-09","49","46","58","49","40","46",""
"Jul-10","52","53","43","55","44","64",""
"Jul-11","53","33","49","43","53","58",""
"Jul-12","62","40","49","49","67","47",""
"Jul-13","40","52","47","55","60","47",""
"Jul-14","51","42","47","50","47","54",""
"Jul-15","47","54","38","55","51","38",""
"Jul-16","50","37","52","47","44","46",""
"Jul-17","63","57","68","48","67","51",""
"Jul-18","39","52","63","52","53","62",""
"Jul-19","45","44","68","52","50","57",""
"Jul-20","31","53","53","48","64","57",""
"Jul-21","48","56","69","41","48","49",""
"Jul-22","43","53","54","49","43","46",""
"Jul-23","48","56","34","66","48","53",""
"Jul-24","44","49","53","39","46","42",""
"Jul-25","47","40","51","47","55","56",""
"Jul-26","55","38","67","48","52","45",""
"Jul-27","50","56","60","55","42","41",""
"Jul-28","31","46","69","41","53","53",""
"Jul-29","46","52","61","50","45","52",""
"Jul-30","52","55","60","46","54","38",""
"Jul-31","61","45","59","47","43","57",""
"Ago-01","41","37","55","40","52","63",""
"Ago-02","55","47","51","50","49","53",""
"Ago-03","49","48","60","52","54","57",""
"Ago-04","55","47","57","48","61","40",""
"Ago-05","45","44","51","45","86","45",""
"Ago-06","44","47","53","29","91","53",""
"Ago-07","55","47","69","36","57","57",""
"Ago-08","48","47","57","49","63","65",""
"Ago-09","53","47","56","40","46","49",""
"Ago-10","45","39","51","48","48","57",""
"Ago-11","39","53","56","47","52","45",""
"Ago-12","52","51","55","44","55","47",""
"Ago-13","46","42","63","63","57","53",""
"Ago-14","48","39","50","61","51","40",""
"Ago-15","41","47","63","37","45","32",""
"Ago-16","54","44","49","58","70","50",""
"Ago-17","40","46","56","51","46","54",""
"Ago-18","43","49","51","47","52","57",""
"Ago-19","47","63","47","60","59","42",""
"Ago-20","51","43","51","44","65","41",""
"Ago-21","51","59","44","66","46","55",""
"Ago-22","64","51","63","65","51","45",""
"Ago-23","51","38","40","49","61","45",""
"Ago-24","55","42","34","53","48","47",""
"Ago-25","43","36","52","57","47","53",""
"Ago-26","41","33","55","50","42","49",""
"Ago-27","56","42","67","53","39","68",""
"Ago-28","48","48","52","51","60","49",""
"Ago-29","40","54","57","41","50","49",""
"Ago-30","45","59","48","47","44","51",""
"Ago-31","46","60","42","37","43","43",""
"Set-01","50","52","49","44","43","35",""
"Set-02","61","44","66","57","38","50",""
"Set-03","53","55","59","45","41","60",""
"Set-04","54","40","58","49","57","50",""
"Set-05","56","50","44","48","49","59",""
"Set-06","57","43","47","35","34","44",""
"Set-07","48","56","45","61","62","47",""
"Set-08","45","56","55","47","49","51",""
"Set-09","37","53","47","43","60","65",""
"Set-10","59","40","48","34","42","48",""
"Set-11","51","39","51","35","53","55",""
"Set-12","56","47","50","43","40","54",""
"Set-13","46","57","48","46","51","39",""
"Set-14","53","43","39","44","45","55",""
"Set-15","52","41","42","49","46","42",""
"Set-16","37","43","45","51","43","67",""
"Set-17","40","49","29","49","51","56",""
"Set-18","34","38","37","44","44","53",""
"Set-19","52","36","49","49","51","46",""
"Set-20","46","43","57","46","54","53",""
"Set-21","37","49","48","41","59","47",""
"Set-22","45","53","46","46","47","45",""
"Set-23","47","40","65","58","50","58",""
"Set-24","39","52","55","45","57","41",""
"Set-25","53","43","43","41","40","49",""
"Set-26","50","48","40","51","51","49",""
"Set-27","45","48","53","54","48","51",""
"Set-28","55","44","48","60","45","51",""
"Set-29","50","47","48","57","44","52",""
"Set-30","53","54","48","45","50","53",""
"Out-01","53","60","62","46","55","58",""
"Out-02","60","46","40","64","61","54",""
"Out-03","56","47","46","63","55","38",""
"Out-04","46","41","53","54","40","41",""
"Out-05","43","51","45","52","68","41",""
"Out-06","50","45","56","47","51","49",""
"Out-07","49","47","49","46","49","54",""
"Out-08","43","53","46","48","47","62",""
"Out-09","48","43","52","53","61","52",""
"Out-10","60","65","61","49","48","41",""
"Out-11","49","61","54","50","54","35",""
"Out-12","41","48","48","47","43","39",""
"Out-13","47","42","58","48","60","56",""
"Out-14","47","47","44","51","53","50",""
"Out-15","61","54","46","54","57","41",""
"Out-16","53","52","55","98","55","41",""
"Out-17","64","43","54","75","51","57",""
"Out-18","42","43","38","69","48","52",""
"Out-19","52","35","70","48","41","51",""
"Out-20","63","44","64","57","49","51",""
"Out-21","58","54","42","47","39","50",""
"Out-22","44","38","57","55","59","60",""
"Out-23","51","48","48","61","72","48",""
"Out-24","54","48","60","51","53","60",""
"Out-25","60","56","66","51","57","61",""
"Out-26","70","62","56","46","52","61",""
"Out-27","53","52","54","47","59","73",""
"Out-28","66","53","54","51","55","62",""
"Out-29","51","51","64","57","54","50",""
"Out-30","47","46","58","48","54","58",""
