"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Mai-24","17","20","18","11","17","12","21"
"Mai-25","13","16","19","18","13","19","23"
"Mai-26","14","20","16","14","18","25","24"
"Mai-27","18","13","17","18","19","16","28"
"Mai-28","24","16","17","22","17","19","17"
"Mai-29","15","18","13","23","21","17","16"
"Mai-30","23","16","16","17","23","16","22"
"Mai-31","18","22","14","24","12","13","25"
"Jun-01","15","17","30","19","12","27","22"
"Jun-02","14","18","23","17","21","19","11"
"Jun-03","14","14","13","24","14","22","18"
"Jun-04","17","23","20","17","15","10","23"
"Jun-05","17","16","21","21","16","27","20"
"Jun-06","20","20","16","16","16","15","16"
"Jun-07","27","24","20","18","18","18","20"
"Jun-08","19","20","25","22","23","15","21"
"Jun-09","19","18","21","15","22","14","22"
"Jun-10","11","18","16","24","14","19","16"
"Jun-11","12","20","25","14","15","27","24"
"Jun-12","14","15","15","17","15","21","23"
"Jun-13","20","15","25","18","18","23","21"
"Jun-14","23","16","16","15","15","18","17"
"Jun-15","26","10","16","19","21","27","19"
"Jun-16","24","11","19","17","23","15","19"
"Jun-17","20","18","18","22","13","21","23"
"Jun-18","13","16","21","24","19","22","17"
"Jun-19","16","18","23","23","21","18","10"
"Jun-20","11","17","17","33","27","15","11"
"Jun-21","15","17","22","19","30","13",""
"Jun-22","21","15","14","25","13","18",""
"Jun-23","22","13","20","17","16","16",""
"Jun-24","16","16","22","18","19","21",""
"Jun-25","17","12","16","27","22","16",""
"Jun-26","9","18","20","19","15","20",""
"Jun-27","11","14","17","21","13","14",""
"Jun-28","14","20","21","20","14","21",""
"Jun-29","16","27","17","19","22","21",""
"Jun-30","13","31","27","16","28","16",""
"Jul-01","21","17","22","20","18","17",""
"Jul-02","21","16","10","16","20","27",""
"Jul-03","15","26","22","19","16","19",""
"Jul-04","10","18","20","11","15","9",""
"Jul-05","20","14","16","19","19","11",""
"Jul-06","8","21","11","17","14","14",""
"Jul-07","15","8","14","14","14","17",""
"Jul-08","10","15","19","16","12","15",""
"Jul-09","23","18","11","9","17","13",""
"Jul-10","16","16","19","10","19","21",""
"Jul-11","17","15","11","8","13","23",""
"Jul-12","19","20","11","13","15","26",""
"Jul-13","14","23","15","27","11","15",""
"Jul-14","21","21","24","14","14","8",""
"Jul-15","23","8","11","17","11","17",""
"Jul-16","20","13","26","21","16","14",""
"Jul-17","20","24","24","18","19","14",""
"Jul-18","21","13","16","19","21","15",""
"Jul-19","20","11","13","16","15","21",""
"Jul-20","16","20","13","25","19","17",""
"Jul-21","17","17","13","19","14","12",""
"Jul-22","16","13","11","21","13","19",""
"Jul-23","21","22","23","17","17","17",""
"Jul-24","22","25","22","18","14","18",""
"Jul-25","16","24","12","21","14","24",""
"Jul-26","21","19","21","24","20","15",""
"Jul-27","10","26","30","22","14","9",""
"Jul-28","21","12","13","16","25","18",""
"Jul-29","14","14","19","22","15","12",""
"Jul-30","15","24","11","17","12","24",""
"Jul-31","13","23","10","17","20","20",""
"Ago-01","21","16","17","16","9","16",""
"Ago-02","13","14","20","19","11","20",""
"Ago-03","12","17","15","18","19","18",""
"Ago-04","18","19","17","16","19","14",""
"Ago-05","19","19","15","15","28","15",""
"Ago-06","21","17","18","21","30","13",""
"Ago-07","19","20","18","13","32","23",""
"Ago-08","17","17","25","13","17","15",""
"Ago-09","22","16","17","14","19","19",""
"Ago-10","20","10","19","9","16","16",""
"Ago-11","19","17","22","11","24","17",""
"Ago-12","18","17","19","13","11","13",""
"Ago-13","22","14","16","13","27","14",""
"Ago-14","17","24","17","24","21","16",""
"Ago-15","13","13","20","14","13","15",""
"Ago-16","14","16","17","14","16","21",""
"Ago-17","20","14","19","17","22","22",""
"Ago-18","22","25","20","15","16","20",""
"Ago-19","12","14","23","9","14","18",""
"Ago-20","16","14","17","18","19","20",""
"Ago-21","19","20","26","20","21","13",""
"Ago-22","17","15","19","17","18","23",""
"Ago-23","18","20","15","16","16","15",""
"Ago-24","14","21","23","14","20","26",""
"Ago-25","12","18","25","20","21","24",""
"Ago-26","19","8","25","18","17","21",""
"Ago-27","13","22","26","22","15","17",""
"Ago-28","21","25","17","22","15","16",""
"Ago-29","18","19","24","16","18","25",""
