"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Mai-24","66","75","79","69","78","76","83"
"Mai-25","61","67","72","82","80","94","83"
"Mai-26","87","91","92","84","80","73",""
"Mai-27","95","72","89","97","98","83",""
"Mai-28","85","93","96","78","89","91",""
"Mai-29","78","93","85","80","89","73",""
"Mai-30","101","85","76","81","84","104",""
"Mai-31","92","76","79","81","90","96",""
"Jun-01","73","80","88","75","74","96",""
"Jun-02","92","87","88","72","62","89",""
"Jun-03","83","66","92","65","61","86",""
"Jun-04","75","82","99","73","98","94",""
"Jun-05","91","88","93","84","92","74",""
"Jun-06","66","90","86","85","92","85",""
"Jun-07","77","94","90","75","89","64",""
"Jun-08","74","89","89","79","72","80",""
"Jun-09","65","74","79","60","75","77",""
"Jun-10","84","78","88","61","92","75",""
"Jun-11","75","55","59","89","85","80",""
"Jun-12","61","91","78","62","92","73",""
"Jun-13","92","73","88","82","85","84",""
"Jun-14","74","74","71","73","87","103",""
"Jun-15","101","67","85","80","74","107",""
"Jun-16","84","72","69","76","93","79",""
"Jun-17","76","59","79","72","92","101",""
"Jun-18","83","83","90","83","104","87",""
"Jun-19","90","104","74","105","114","82",""
"Jun-20","70","94","64","105","101","83",""
"Jun-21","76","80","104","82","92","80",""
"Jun-22","69","96","69","88","99","86",""
"Jun-23","65","66","78","82","79","94",""
"Jun-24","65","66","87","72","98","97",""
"Jun-25","77","66","78","80","99","109",""
"Jun-26","77","63","76","65","90","88",""
"Jun-27","83","72","92","84","100","73",""
"Jun-28","74","83","78","69","67","82",""
"Jun-29","73","89","87","77","71","82",""
"Jun-30","79","65","79","78","77","74",""
"Jul-01","73","67","81","73","80","88",""
"Jul-02","88","64","75","78","71","90",""
"Jul-03","72","65","86","86","81","85",""
"Jul-04","82","61","75","104","71","99",""
"Jul-05","68","75","89","83","77","94",""
"Jul-06","76","68","90","84","63","90",""
"Jul-07","79","70","76","82","81","76",""
"Jul-08","57","86","84","81","84","86",""
"Jul-09","77","82","84","76","61","81",""
"Jul-10","93","83","75","80","89","77",""
"Jul-11","64","80","103","84","93","91",""
"Jul-12","74","64","58","78","83","86",""
"Jul-13","94","78","86","92","76","97",""
"Jul-14","77","82","66","78","87","68",""
"Jul-15","80","75","89","66","82","88",""
"Jul-16","68","75","91","94","71","76",""
"Jul-17","74","70","89","84","68","76",""
"Jul-18","76","73","88","77","89","83",""
"Jul-19","68","79","88","88","79","91",""
"Jul-20","72","61","96","75","87","79",""
"Jul-21","68","79","93","61","77","71",""
"Jul-22","65","88","86","64","75","82",""
"Jul-23","77","73","84","67","72","81",""
"Jul-24","69","86","92","88","75","79",""
"Jul-25","74","71","92","71","80","74",""
"Jul-26","71","63","86","83","88","85",""
"Jul-27","105","66","85","68","86","85",""
"Jul-28","89","73","102","74","80","84",""
"Jul-29","77","85","97","79","75","73",""
"Jul-30","73","78","72","84","91","67",""
"Jul-31","86","82","81","64","85","65",""
"Ago-01","87","66","86","59","86","79",""
"Ago-02","81","82","85","74","93","82",""
"Ago-03","87","73","80","86","95","99",""
"Ago-04","76","82","98","86","116","67",""
"Ago-05","71","69","75","75","117","78",""
"Ago-06","81","73","72","71","109","84",""
"Ago-07","85","76","78","93","94","88",""
"Ago-08","81","83","94","54","72","90",""
"Ago-09","64","79","107","75","82","86",""
"Ago-10","76","79","73","72","81","73",""
"Ago-11","77","86","98","79","81","70",""
"Ago-12","65","72","89","62","82","84",""
"Ago-13","70","81","93","79","77","81",""
"Ago-14","73","67","86","70","83","74",""
"Ago-15","73","74","81","77","82","68",""
"Ago-16","89","70","110","81","84","73",""
"Ago-17","82","73","90","72","86","67",""
"Ago-18","88","92","64","87","76","78",""
"Ago-19","77","66","70","73","80","84",""
"Ago-20","89","90","84","78","84","84",""
"Ago-21","81","70","66","85","87","83",""
"Ago-22","83","82","73","103","85","80",""
"Ago-23","77","68","92","77","80","91",""
"Ago-24","81","82","85","92","72","98",""
"Ago-25","69","60","82","89","94","68",""
"Ago-26","69","59","79","83","76","81",""
"Ago-27","83","84","71","61","66","66",""
"Ago-28","79","71","82","69","74","87",""
"Ago-29","86","83","100","76","92","94",""
"Ago-30","76","73","77","75","68","76",""
"Ago-31","88","89","69","78","84","71",""
"Set-01","76","62","77","76","91","93",""
"Set-02","72","98","77","76","78","94",""
"Set-03","96","93","75","82","99","76",""
"Set-04","66","68","89","103","88","86",""
"Set-05","75","69","103","80","75","77",""
"Set-06","79","85","85","67","78","81",""
"Set-07","89","71","75","70","75","66",""
"Set-08","65","73","91","79","91","85",""
"Set-09","83","79","75","69","67","70",""
"Set-10","62","74","73","81","73","75",""
"Set-11","68","72","70","82","75","77",""
"Set-12","75","68","69","83","72","87",""
"Set-13","72","82","71","67","80","71",""
"Set-14","71","78","62","73","72","85",""
"Set-15","80","80","87","89","76","84",""
"Set-16","80","80","72","74","92","87",""
"Set-17","73","62","74","64","75","72",""
"Set-18","79","87","93","68","83","82",""
"Set-19","79","75","74","80","76","92",""
"Set-20","76","65","83","79","80","82",""
"Set-21","73","66","78","94","85","88",""
"Set-22","91","67","74","75","77","72",""
"Set-23","98","80","77","87","70","101",""
"Set-24","82","96","81","76","76","77",""
"Set-25","83","83","67","98","84","81",""
"Set-26","73","79","78","86","73","97",""
"Set-27","101","82","82","89","68","89",""
"Set-28","78","86","80","92","93","87",""
"Set-29","71","73","91","83","75","92",""
"Set-30","95","71","97","85","71","89",""
"Out-01","86","79","73","96","94","87",""
"Out-02","81","91","90","80","86","100",""
"Out-03","79","70","76","90","71","101",""
"Out-04","82","77","87","98","99","94",""
"Out-05","80","81","64","91","88","83",""
"Out-06","94","67","81","81","64","70",""
"Out-07","83","68","90","81","74","86",""
"Out-08","79","76","102","70","93","83",""
"Out-09","87","74","85","87","93","87",""
"Out-10","81","68","87","108","93","80",""
"Out-11","83","67","89","91","95","97",""
"Out-12","81","88","98","100","80","80",""
"Out-13","73","76","83","77","91","88",""
"Out-14","86","76","83","74","89","74",""
"Out-15","88","76","97","74","97","77",""
"Out-16","92","80","80","96","82","83",""
"Out-17","85","81","95","85","95","93",""
"Out-18","80","80","83","96","86","76",""
"Out-19","68","80","89","79","99","99",""
"Out-20","94","92","106","93","89","75",""
"Out-21","80","77","96","85","82","110",""
"Out-22","70","80","72","85","77","104",""
"Out-23","74","87","93","77","79","108",""
"Out-24","88","75","75","70","90","84",""
"Out-25","78","85","80","87","94","80",""
"Out-26","103","76","81","79","93","90",""
"Out-27","67","77","92","118","83","79",""
"Out-28","78","78","85","86","80","101",""
"Out-29","70","94","83","74","91","88",""
"Out-30","95","81","92","90","85","109",""
"Out-31","77","88","103","76","76","104",""
"Nov-01","90","76","75","77","91","89",""
"Nov-02","84","90","85","88","106","96",""
"Nov-03","83","82","94","92","94","88",""
"Nov-04","89","86","99","74","85","102",""
"Nov-05","77","83","94","75","106","93",""
"Nov-06","83","84","68","89","79","97",""
"Nov-07","81","87","84","71","96","86",""
"Nov-08","86","84","77","84","99","94",""
"Nov-09","95","75","88","90","108","92",""
"Nov-10","72","78","92","103","105","78",""
"Nov-11","108","75","82","89","121","88",""
"Nov-12","89","76","99","90","97","79",""
"Nov-13","85","66","98","120","84","73",""
"Nov-14","90","82","96","98","98","86",""
"Nov-15","71","82","92","120","105","96",""
"Nov-16","70","69","84","99","95","106",""
"Nov-17","99","81","98","94","91","120",""
"Nov-18","100","93","92","104","83","81",""
"Nov-19","79","93","120","84","94","113",""
"Nov-20","96","93","96","116","115","96",""
"Nov-21","76","76","94","95","112","103",""
"Nov-22","84","87","74","92","113","108",""
"Nov-23","91","95","86","95","116","91",""
"Nov-24","88","74","106","100","86","108",""
"Nov-25","86","70","106","92","94","107",""
"Nov-26","83","86","95","87","80","107",""
"Nov-27","81","114","101","100","104","108",""
"Nov-28","95","83","110","106","91","104",""
"Nov-29","84","87","100","113","101","102",""
"Nov-30","86","101","104","105","95","103",""
"Dez-01","85","85","89","102","106","99",""
"Dez-02","96","94","124","108","106","102",""
"Dez-03","84","93","89","89","83","94",""
"Dez-04","84","82","116","108","87","81",""
"Dez-05","80","84","117","106","97","118",""
"Dez-06","99","86","115","123","95","100",""
"Dez-07","110","82","84","123","98","99",""
"Dez-08","116","83","104","98","85","90",""
"Dez-09","141","84","114","101","88","100",""
"Dez-10","111","71","96","110","97","99",""
"Dez-11","101","95","117","115","99","112",""
"Dez-12","106","80","105","117","101","103",""
"Dez-13","109","100","118","121","91","89",""
"Dez-14","103","77","103","123","73","90",""
"Dez-15","115","94","93","115","84","112",""
"Dez-16","105","100","115","105","84","111",""
"Dez-17","100","86","121","94","88","77",""
"Dez-18","94","112","116","130","96","98",""
"Dez-19","108","89","135","116","99","116",""
"Dez-20","90","100","117","98","94","105",""
"Dez-21","109","97","123","131","102","101",""
"Dez-22","108","79","135","108","90","107",""
"Dez-23","103","93","119","115","124","97",""
"Dez-24","112","82","133","110","105","97",""
"Dez-25","121","111","134","97","88","121",""
"Dez-26","127","115","139","129","92","101",""
"Dez-27","120","116","131","147","106","88",""
"Dez-28","122","94","134","146","94","94",""
"Dez-29","130","94","149","131","108","122",""
"Dez-30","112","105","131","112","117","113",""
"Dez-31","120","100","144","130","106","117",""
