"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Mai-24","11","7","8","3","5","7","12"
"Mai-25","6","4","6","7","7","7","10"
"Mai-26","9","10","6","3","7","6",""
"Mai-27","4","6","6","5","8","7",""
"Mai-28","4","3","12","8","5","7",""
"Mai-29","13","8","7","6","6","6",""
"Mai-30","10","8","7","4","4","7",""
"Mai-31","6","7","3","5","5","5",""
"Jun-01","10","6","7","7","9","5",""
"Jun-02","8","7","10","5","5","7",""
"Jun-03","3","5","5","1","8","7",""
"Jun-04","8","8","6","7","6","6",""
"Jun-05","13","7","6","8","7","8",""
"Jun-06","5","7","2","9","13","1",""
"Jun-07","6","5","5","8","8","7",""
"Jun-08","8","5","2","5","5","5",""
"Jun-09","7","8","8","4","2","6",""
"Jun-10","6","4","8","6","12","6",""
"Jun-11","7","9","11","6","9","5",""
"Jun-12","5","4","5","10","4","10",""
"Jun-13","3","6","6","13","9","4",""
"Jun-14","6","4","6","6","9","5",""
"Jun-15","8","4","11","10","7","7",""
"Jun-16","8","4","7","7","10","4",""
"Jun-17","8","6","9","3","7","7",""
"Jun-18","8","3","6","6","6","11",""
"Jun-19","3","10","5","7","7","11",""
"Jun-20","6","9","2","8","7","6",""
"Jun-21","7","5","7","8","4","6",""
"Jun-22","5","6","5","8","3","6",""
"Jun-23","3","2","6","10","5","13",""
"Jun-24","8","8","7","6","7","4",""
"Jun-25","11","11","8","4","10","7",""
"Jun-26","9","10","5","12","7","5",""
"Jun-27","9","5","3","5","10","6",""
"Jun-28","5","6","5","5","7","6",""
"Jun-29","6","5","6","5","4","9",""
"Jun-30","8","3","3","12","8","7",""
"Jul-01","9","7","7","3","5","7",""
"Jul-02","4","3","9","4","5","6",""
"Jul-03","9","2","13","6","6","7",""
"Jul-04","3","5","6","7","5","6",""
"Jul-05","4","3","5","5","6","5",""
"Jul-06","7","10","6","6","4","8",""
"Jul-07","9","4","9","5","6","2",""
"Jul-08","5","7","4","7","7","4",""
"Jul-09","6","6","4","7","4","2",""
"Jul-10","10","5","8","3","8","6",""
"Jul-11","7","10","1","7","9","4",""
"Jul-12","8","6","6","5","4","7",""
"Jul-13","5","0","8","7","3","4",""
"Jul-14","7","7","10","6","4","11",""
"Jul-15","7","6","6","8","13","4",""
"Jul-16","6","7","6","6","5","7",""
"Jul-17","10","2","5","6","10","7",""
"Jul-18","2","15","8","2","5","5",""
"Jul-19","5","5","1","7","8","5",""
"Jul-20","4","11","7","5","8","7",""
"Jul-21","8","8","3","7","5","9",""
"Jul-22","8","9","7","6","7","6",""
"Jul-23","5","7","5","8","5","8",""
"Jul-24","3","5","4","2","9","2",""
"Jul-25","4","8","9","4","7","14",""
"Jul-26","5","7","8","7","8","5",""
"Jul-27","4","11","11","4","5","6",""
"Jul-28","8","8","7","4","9","7",""
"Jul-29","3","7","5","7","7","9",""
"Jul-30","5","9","2","6","7","7",""
"Jul-31","6","4","6","6","5","6",""
"Ago-01","8","5","6","6","5","8",""
"Ago-02","5","8","5","5","4","6",""
"Ago-03","8","5","10","11","6","10",""
"Ago-04","4","9","10","8","6","9",""
"Ago-05","1","9","8","11","8","8",""
"Ago-06","11","8","8","4","13","5",""
"Ago-07","11","6","4","9","7","6",""
"Ago-08","9","7","6","9","7","9",""
"Ago-09","8","3","14","7","3","7",""
"Ago-10","7","9","15","5","2","10",""
"Ago-11","12","6","14","7","8","5",""
"Ago-12","2","7","8","5","4","6",""
"Ago-13","5","10","5","10","6","10",""
"Ago-14","5","9","6","10","8","8",""
"Ago-15","9","7","6","18","10","3",""
"Ago-16","4","6","6","4","7","5",""
"Ago-17","5","6","6","2","3","6",""
"Ago-18","7","3","7","13","5","6",""
"Ago-19","7","3","9","3","12","6",""
"Ago-20","6","5","9","8","6","5",""
"Ago-21","6","9","6","4","12","4",""
"Ago-22","7","11","7","8","6","5",""
"Ago-23","3","9","2","6","5","8",""
"Ago-24","8","4","8","6","6","8",""
"Ago-25","6","3","4","7","8","6",""
"Ago-26","10","8","5","8","6","10",""
"Ago-27","9","6","7","8","5","5",""
"Ago-28","5","12","4","4","5","7",""
"Ago-29","5","4","6","4","2","6",""
"Ago-30","7","7","7","7","8","9",""
"Ago-31","10","4","7","2","6","10",""
"Set-01","5","9","8","4","10","7",""
"Set-02","5","7","6","8","6","8",""
"Set-03","7","3","4","4","1","4",""
"Set-04","5","11","11","9","6","7",""
"Set-05","8","4","2","5","7","6",""
"Set-06","7","8","7","3","3","6",""
"Set-07","14","7","6","9","9","10",""
"Set-08","4","7","2","9","5","7",""
"Set-09","9","6","5","9","14","9",""
"Set-10","6","8","11","11","8","6",""
"Set-11","6","7","7","12","8","9",""
"Set-12","6","8","6","6","8","9",""
"Set-13","4","5","6","7","11","4",""
"Set-14","6","6","3","6","7","4",""
"Set-15","8","6","8","7","4","8",""
"Set-16","5","5","10","5","8","8",""
"Set-17","8","12","2","8","5","8",""
"Set-18","10","5","9","6","4","8",""
"Set-19","7","7","5","3","10","8",""
"Set-20","2","7","8","3","10","9",""
"Set-21","8","8","10","8","10","8",""
"Set-22","0","7","10","5","6","7",""
"Set-23","7","11","8","4","7","3",""
"Set-24","7","5","4","7","7","6",""
"Set-25","4","8","7","7","3","5",""
"Set-26","8","4","4","8","8","7",""
"Set-27","7","6","4","7","4","6",""
"Set-28","4","7","5","11","9","10",""
"Set-29","5","2","7","5","7","7",""
"Set-30","6","9","7","9","5","12",""
"Out-01","7","5","5","9","9","6",""
"Out-02","8","7","1","7","9","8",""
"Out-03","8","5","4","6","5","8",""
"Out-04","8","3","4","6","5","8",""
"Out-05","7","8","5","5","0","13",""
"Out-06","7","8","9","9","3","6",""
"Out-07","8","7","9","8","8","1",""
"Out-08","7","5","5","6","4","8",""
"Out-09","6","7","3","1","7","4",""
"Out-10","8","2","3","4","5","10",""
"Out-11","5","9","4","7","7","8",""
"Out-12","8","12","5","3","4","4",""
"Out-13","5","6","6","5","7","8",""
"Out-14","9","0","8","9","5","9",""
"Out-15","4","3","4","9","8","2",""
"Out-16","5","0","6","5","10","3",""
"Out-17","7","5","4","7","5","10",""
"Out-18","6","6","4","2","3","7",""
"Out-19","7","8","7","3","6","6",""
"Out-20","12","10","6","2","7","9",""
"Out-21","9","9","2","7","5","7",""
"Out-22","7","6","8","5","14","4",""
"Out-23","8","11","9","10","6","4",""
"Out-24","8","5","5","7","9","6",""
"Out-25","12","7","5","10","1","5",""
"Out-26","5","3","3","3","7","6",""
"Out-27","5","8","9","8","10","6",""
"Out-28","7","8","7","6","13","12",""
"Out-29","5","4","8","8","4","9",""
