date,minimum,maximum,range,mean,std
2020-02-06,17.6002445221,18.4990940094,0.898849487305,17.968386179,0.292541446886
2020-02-07,17.8012256622,18.5991668701,0.797941207886,18.2476404259,0.216154981252
2020-02-08,16.8024234772,18.3982849121,1.59586143494,17.4996554593,0.421416443717
2020-02-09,16.7010936737,17.3992862701,0.698192596436,17.1200389632,0.197879204912
2020-02-10,16.3009681702,16.8993625641,0.598394393921,16.5343897027,0.165933455777
2020-02-11,17.4016418457,18.4987869263,1.09714508057,17.780270542,0.319109011465
2020-02-12,15.1000938416,15.3571825027,0.257088661194,15.2052370554,0.0700595342795
2020-02-13,15.8000354767,16.0282363892,0.228200912476,15.8548736802,0.0552086256659
2020-02-14,17.2002849579,17.9994983673,0.799213409424,17.5588873208,0.244377883926
2020-02-15,18.4007930756,18.9998970032,0.599103927612,18.7951684975,0.19828150089
2020-02-16,16.901014328,17.6998634338,0.798849105835,17.4153504889,0.261618739816
2020-02-17,17.5000953674,17.6999034882,0.199808120728,17.6012868307,0.0636098341798
2020-02-18,15.4002943039,16.3983974457,0.998103141785,15.903976923,0.351317457169
2020-02-19,18.9014568329,20.2978801727,1.39642333984,19.5060348511,0.383354064742
2020-02-20,17.9012374878,19.0981731415,1.19693565369,18.3697255835,0.346572793955
2020-02-21,21.0000553131,21.4621925354,0.46213722229,21.2088652921,0.143962035757
2020-02-22,21.600063324,22.0392398834,0.439176559448,21.8110632609,0.14253155673
2020-02-23,22.600063324,22.9765205383,0.376457214355,22.720802445,0.0919863601065
2020-02-24,21.5774707794,22.4999275208,0.922456741333,22.368600133,0.16020100509
2020-02-26,16.4002532959,17.3891944885,0.988941192627,16.856467833,0.321763932147
2020-02-27,19.7003002167,20.6998786926,0.999578475952,20.2328744222,0.374021576196
2020-02-28,20.0000572205,20.4998435974,0.499786376953,20.2265308334,0.189432257693
2020-02-29,18.5017223358,19.6986637115,1.19694137573,18.9059539933,0.35120739249
2020-03-01,16.300195694,16.7995700836,0.499374389648,16.4948484122,0.148978285939
2020-03-02,16.7004375458,17.8990783691,1.19864082336,17.193879162,0.355567682644
2020-03-03,19.2004051208,20.2992763519,1.09887123108,19.6856602818,0.332481271582
2020-03-04,18.9027938843,20.6981372833,1.79534339905,19.9042438599,0.483862923671
2020-03-05,17.4004020691,18.5988693237,1.19846725464,17.8312698043,0.35606140323
2020-03-06,16.6001987457,17.0996665955,0.499467849731,16.8221757958,0.150782077914
2020-03-07,18.9002075195,19.9985961914,1.09838867188,19.2853279573,0.362030518235
2020-03-08,19.0002574921,19.799489975,0.79923248291,19.387933846,0.27154501073
2020-03-09,20.1004123688,21.2994594574,1.19904708862,20.7230646064,0.424891076374
2020-03-10,23.2671489716,23.4995975494,0.232448577881,23.3537890193,0.0614761789852
2020-03-11,26.301279068,27.5980987549,1.29681968689,26.7923765527,0.397402874241
2020-03-12,21.6004867554,22.7995758057,1.19908905029,22.235717176,0.408588237956
2020-03-13,17.600522995,18.9989700317,1.39844703674,18.1890603491,0.416787486154
2020-03-16,15.4002914429,16.1995258331,0.799234390259,15.7666510157,0.247118652832
2020-03-17,17.5010948181,18.4986000061,0.997505187988,17.9716309007,0.268840328781
2020-03-18,22.9011096954,23.8986225128,0.997512817383,23.4476100278,0.261981245736
2020-03-19,21.3003864288,21.6993942261,0.399007797241,21.4412485146,0.125681548787
2020-03-20,14.4000520706,14.7227325439,0.322680473328,14.4962582761,0.106818254869
2020-03-21,16.10064888,16.499956131,0.399307250977,16.3864071398,0.135632949444
2020-03-22,18.7003574371,19.9989700317,1.2986125946,19.2868732774,0.434243535925
2020-03-23,20.0010433197,20.9985313416,0.997488021851,20.34233392,0.318628253279
2020-03-24,20.9010829926,21.8985748291,0.997491836548,21.4016424891,0.263177986948
2020-03-25,21.9010181427,22.5993003845,0.698282241821,22.3018386565,0.204609495371
2020-03-26,18.2016677856,19.2989215851,1.09725379944,18.8645005973,0.326233813718
2020-03-27,18.8007087708,19.2994976044,0.498788833618,19.0837924682,0.147846887288
2020-03-28,18.0009899139,18.8987426758,0.897752761841,18.4754566974,0.235261346424
2020-03-29,17.90284729,19.7979602814,1.89511299133,18.6608080577,0.522827215599
2020-03-30,13.300409317,14.8984489441,1.59803962708,13.9615648913,0.524626289261
2020-03-31,13.7010498047,14.3992376328,0.698187828064,13.9595360239,0.197618245067
2020-04-01,12.9009065628,13.6989040375,0.79799747467,13.4240761722,0.228713227707
2020-04-02,18.8004570007,19.9992733002,1.19881629944,19.3483872011,0.367375618195
2020-04-03,19.5019683838,20.7986602783,1.29669189453,20.2999075235,0.381037021652
2020-04-04,18.7001247406,19.3990516663,0.698926925659,18.9362621537,0.230205586173
2020-04-05,18.4001731873,18.7998638153,0.399690628052,18.6139686768,0.135286841477
2020-04-06,16.4002342224,16.548122406,0.147888183594,16.4831836425,0.0352659394645
2020-04-07,19.1018238068,20.2987327576,1.19690895081,19.6763615436,0.312943594502
2020-04-08,19.2003135681,19.9996147156,0.799301147461,19.5946766038,0.256284882595
2020-04-09,17.0010185242,18.8993968964,1.89837837219,17.9379328992,0.668170623671
2020-04-10,21.1006183624,22.6993160248,1.59869766235,21.909254212,0.526043390275
2020-04-11,21.200296402,21.9996051788,0.799308776855,21.5873217295,0.256207178191
2020-04-12,22.3000793457,22.9989070892,0.69882774353,22.500604032,0.238227336181
2020-04-13,16.5001010895,16.8996601105,0.399559020996,16.6751652913,0.133062660625
2020-04-14,20.5007247925,22.4984111786,1.99768638611,21.3022932949,0.592766456987
