date,minimum,maximum,range,mean,std
2020-02-26,16.1999397278,17.5886306763,1.38869094849,16.637395715,0.2213362737
2020-02-27,18.8002681732,20.0222167969,1.22194862366,19.3792232926,0.167606408437
2020-02-28,21.1000041962,22.9516525269,1.85164833069,21.4689024354,0.376537863262
2020-02-29,16.7344322205,18.499994278,1.7655620575,17.960376478,0.410215768642
2020-03-01,16.3992958069,16.9170303345,0.517734527588,16.7318895983,0.0720890550766
2020-03-02,15.8654193878,16.791557312,0.926137924194,16.3184852716,0.142914552237
2020-03-03,17.9218063354,18.7481822968,0.826375961304,18.5397795759,0.153638943284
2020-03-04,19.4833889008,20.589756012,1.10636711121,20.2166994782,0.134770182341
2020-03-05,16.7283744812,18.0164680481,1.28809356689,17.1713692969,0.234491294384
2020-03-06,15.6922330856,16.9844989777,1.29226589203,16.4117397692,0.162697288933
2020-03-07,18.2403354645,19.4837818146,1.2434463501,19.0886613348,0.178603466783
2020-03-08,17.3069114685,18.3432712555,1.03635978699,17.7424075642,0.215193248079
2020-03-09,20.2338676453,21.5413780212,1.30751037598,21.0012506992,0.181945505961
2020-03-10,25.3456058502,27.673538208,2.32793235779,26.2714709669,0.358136271069
2020-03-11,24.2004394531,26.5178012848,2.31736183167,25.8413190893,0.446407935341
2020-03-12,22.5000038147,23.3949317932,0.894927978516,22.8248023188,0.239912981465
2020-03-13,19.2852668762,20.6893024445,1.40403556824,20.1964010441,0.25519369844
2020-03-16,15.1978731155,16.4459476471,1.24807453156,15.8865909714,0.213022844076
2020-03-17,16.7188739777,17.7163486481,0.99747467041,17.3298137749,0.173621693051
2020-03-18,21.526014328,23.2665710449,1.74055671692,22.5310635084,0.263547762443
2020-03-19,21.1158275604,23.1897068024,2.07387924194,22.6406120669,0.354566514548
2020-03-20,13.526473999,15.472079277,1.94560527802,13.9800852051,0.425758290147
2020-03-21,13.2219810486,14.8884038925,1.66642284393,13.9406403522,0.236023100827
2020-03-22,17.0273971558,18.0702781677,1.04288101196,17.7425972996,0.216385415009
2020-03-23,17.5241203308,19.2911682129,1.76704788208,18.4592100842,0.243955467187
2020-03-24,18.3760719299,20.0759010315,1.69982910156,19.3401558027,0.246059465301
2020-03-25,20.7436084747,22.5663356781,1.82272720337,21.3562753871,0.256466518277
2020-03-26,18.5202064514,20.0042972565,1.48409080505,19.1211706584,0.214797864692
2020-03-27,17.0798206329,18.6234054565,1.54358482361,17.976717142,0.274777455742
2020-03-28,17.3000068665,18.8851070404,1.58510017395,17.799009541,0.408777856602
2020-03-29,19.1180343628,20.6697902679,1.55175590515,19.6503631784,0.223882791609
2020-03-30,14.2722787857,15.3352136612,1.06293487549,14.73639449,0.14492798205
2020-03-31,11.4121704102,12.5205316544,1.1083612442,12.01399113,0.170512831097
2020-04-01,13.1697645187,15.0718126297,1.90204811096,13.6737617281,0.38098049582
2020-04-02,18.1205596924,18.9338874817,0.813327789307,18.7251809172,0.153994279531
2020-04-03,20.7175483704,22.2817325592,1.56418418884,21.1255973023,0.327984172205
2020-04-04,16.4903964996,17.2970085144,0.806612014771,16.7616270113,0.142820134426
2020-04-05,17.1000022888,18.0361766815,0.9361743927,17.316555443,0.186261592668
2020-04-06,19.3403377533,21.4457359314,2.1053981781,20.0126293906,0.368127771716
2020-04-07,20.7896671295,22.3999958038,1.61032867432,21.9370442207,0.375183381767
