date,minimum,maximum,range,mean,std
2020-03-23,9.49151992798,10.0999898911,0.608469963074,9.96341374426,0.143911927805
2020-03-24,10.0136632919,10.5999908447,0.586327552795,10.4697020271,0.138170986512
2020-03-25,11.9042625427,12.2999925613,0.395730018616,12.2089374282,0.0947811326095
2020-03-26,9.99404907227,10.4999914169,0.505942344666,10.3853355755,0.12038787241
2020-03-27,8.7327375412,9.29999160767,0.567254066467,9.1750609369,0.133812682505
2020-03-28,9.22367095947,9.99998760223,0.776316642761,9.82950365182,0.182148533745
2020-03-29,10.8427238464,11.7999849319,0.95726108551,11.5886349871,0.224913549712
2020-03-30,11.0571393967,11.5999908447,0.542851448059,11.4778459771,0.128913479823
2020-03-31,10.9809503555,11.4999904633,0.519040107727,11.3765536992,0.126740236183
2020-04-01,8.02205276489,8.79998874664,0.77793598175,8.63179014187,0.181521891834
2020-04-02,8.33095645905,8.69999408722,0.369037628174,8.61678296869,0.0884304965706
2020-04-03,8.9600944519,9.39999294281,0.439898490906,9.30116610575,0.104953950705
2020-04-04,12.8427047729,13.7999858856,0.957281112671,13.5934537204,0.222904316686
2020-04-05,15.0492696762,15.1999950409,0.150725364685,15.1589498231,0.0390394281494
2020-04-06,13.0405826569,13.2999944687,0.259411811829,13.2335346347,0.0669322207843
2020-04-07,14.5391378403,14.8999938965,0.360856056213,14.8199219126,0.0849779965328
2020-04-08,14.2333698273,14.7999925613,0.56662273407,14.6817217885,0.130357043067
2020-04-09,15.1596851349,15.5999937057,0.440308570862,15.502197781,0.104137767552
2020-04-10,16.0878562927,16.3999938965,0.31213760376,16.3250446898,0.0766871886035
2020-04-11,15.3113231659,15.6999931335,0.388669967651,15.6097302967,0.0935580929093
2020-04-12,13.5452051163,13.8999938965,0.354788780212,13.8157522558,0.0864008028595
2020-04-13,12.7275533676,12.999994278,0.272440910339,12.9333951208,0.067478148169
2020-04-14,13.9000730515,14.299990654,0.399917602539,14.1978354406,0.101134908399
2020-04-15,12.4913454056,12.5999975204,0.108652114868,12.5746305543,0.0263359368311
2020-04-16,15.2344779968,15.3999958038,0.165517807007,15.3562867136,0.0440756716045
2020-04-17,14.8048524857,15.1999921799,0.395139694214,15.1063731849,0.0961202722752
2020-04-18,13.4288930893,13.7999925613,0.371099472046,13.7098200008,0.0917206119353
2020-04-19,12.7118997574,12.999994278,0.288094520569,12.9269699713,0.0730835559345
2020-04-20,12.8634576797,13.1999940872,0.336536407471,13.1202740332,0.0819382022565
2020-04-21,12.0371370316,12.299996376,0.262859344482,12.2404647837,0.0626751838427
2020-04-22,11.0866088867,11.1999979019,0.113389015198,11.1744529503,0.0264712775294
2020-04-23,12.4179754257,12.7999925613,0.38201713562,12.7074722521,0.0942775699755
2020-04-24,14.8755226135,15.3999900818,0.524467468262,15.2768688298,0.126909299382
2020-04-25,14.5529937744,14.6999969482,0.147003173828,14.6616062877,0.0387276746314
2020-04-26,13.7635030746,13.9999952316,0.236492156982,13.9427312263,0.0585481728814
2020-04-27,11.7802047729,11.8999967575,0.119791984558,11.8682815956,0.0320577021981
2020-04-28,12.3394107819,12.5999946594,0.260583877563,12.532954635,0.0669184331874
2020-04-29,10.6931152344,10.8999948502,0.206879615784,10.8492283917,0.0509070702416
2020-04-30,15.1098508835,15.4999933243,0.390142440796,15.4079518703,0.0946459010893
2020-05-01,12.6387968063,12.7999954224,0.161198616028,12.7560557356,0.0431372180138
2020-05-02,14.1440849304,14.299996376,0.155911445618,14.2605755353,0.0393970453284
2020-05-03,16.2991027832,16.6999931335,0.400890350342,16.6040314183,0.0981108390247
2020-05-04,16.5874290466,16.9999923706,0.412563323975,16.9027993173,0.10005434028
2020-05-05,14.1110954285,14.6999893188,0.588893890381,14.5634442965,0.14158240317
2020-05-06,14.136179924,14.2999954224,0.163815498352,14.2574580221,0.0416610621157
2020-05-07,18.4130840302,18.9999904633,0.586906433105,18.8625623722,0.141980274139
2020-05-08,15.0968856812,15.2999954224,0.203109741211,15.2530169872,0.0480969432026
2020-05-09,13.2722129822,13.4999952316,0.227782249451,13.4434047949,0.057687234544
2020-05-10,14.5594539642,14.8999948502,0.340540885925,14.8243265489,0.0806901323132
2020-05-11,15.9625053406,16.299993515,0.337488174438,16.219778427,0.0822773326189
2020-05-12,14.2126979828,14.6999912262,0.487293243408,14.5871111696,0.1171709492
2020-05-13,12.904583931,13.3999910355,0.495407104492,13.2842728393,0.119575221233
2020-05-14,12.8734474182,13.1999931335,0.326545715332,13.1191174719,0.0814721002589
2020-05-15,14.2668790817,14.5999917984,0.333112716675,14.5149324928,0.0845690311599
2020-05-16,13.7262325287,14.0999927521,0.373760223389,14.0106859544,0.0913433026824
2020-05-17,14.6088943481,14.8999958038,0.291101455688,14.8346685015,0.0690100578451
2020-05-18,16.3155517578,16.8999900818,0.584438323975,16.7642497824,0.140558689721
2020-05-19,16.902053833,17.0999946594,0.197940826416,17.0476142325,0.0518147305354
2020-05-20,19.5899066925,20.1999893188,0.610082626343,20.0545570778,0.148845624627
2020-05-21,17.7951889038,18.1999912262,0.404802322388,18.0981568038,0.102065581042
2020-05-22,19.0389728546,19.4999904633,0.461017608643,19.3839168741,0.116392775719
2020-05-23,21.9640712738,22.9999828339,1.03591156006,22.7669296554,0.245658661075
2020-05-24,20.4005851746,20.8999900818,0.499404907227,20.7810531481,0.122030447378
2020-05-25,19.6258335114,20.1999893188,0.574155807495,20.0684425759,0.137179952442
