,city,"p, d, q","P, D, Q, m",aic
72,Norte,"(0, 1, 1)","(0, 0, 0, 15)",1374.7535330157386
73,Norte,"(0, 1, 1)","(0, 0, 1, 15)",1207.422266035764
74,Norte,"(0, 1, 1)","(0, 0, 2, 15)",
75,Norte,"(0, 1, 1)","(0, 1, 0, 15)",1262.428162553271
76,Norte,"(0, 1, 1)","(0, 1, 1, 15)",1038.0239471109405
77,Norte,"(0, 1, 1)","(0, 1, 2, 15)",2397.660573974941
78,Norte,"(0, 1, 1)","(1, 0, 0, 15)",1230.0291835059356
79,Norte,"(0, 1, 1)","(1, 0, 1, 15)",1203.6181311219118
80,Norte,"(0, 1, 1)","(1, 0, 2, 15)",
81,Norte,"(0, 1, 1)","(1, 1, 0, 15)",1083.3884188388463
82,Norte,"(0, 1, 1)","(1, 1, 1, 15)",1040.0163817533441
83,Norte,"(0, 1, 1)","(1, 1, 2, 15)",2339.8353285551448
84,Norte,"(0, 1, 1)","(2, 0, 0, 15)",1044.607349994194
85,Norte,"(0, 1, 1)","(2, 0, 1, 15)",1045.2734365248025
86,Norte,"(0, 1, 1)","(2, 0, 2, 15)",6102.271219239871
87,Norte,"(0, 1, 1)","(2, 1, 0, 15)",861.8045663326217
88,Norte,"(0, 1, 1)","(2, 1, 1, 15)",866.0734177330162
89,Norte,"(0, 1, 1)","(2, 1, 2, 15)",2280.003682711986
90,Norte,"(0, 1, 2)","(0, 0, 0, 15)",1365.2484035133382
91,Norte,"(0, 1, 2)","(0, 0, 1, 15)",1197.8334996436222
92,Norte,"(0, 1, 2)","(0, 0, 2, 15)",
93,Norte,"(0, 1, 2)","(0, 1, 0, 15)",1252.5502111451265
94,Norte,"(0, 1, 2)","(0, 1, 1, 15)",1024.9709353835528
95,Norte,"(0, 1, 2)","(0, 1, 2, 15)",2803.779596133139
96,Norte,"(0, 1, 2)","(1, 0, 0, 15)",1231.8264293931986
97,Norte,"(0, 1, 2)","(1, 0, 1, 15)",1194.4312307926384
98,Norte,"(0, 1, 2)","(1, 0, 2, 15)",6543.293620792188
99,Norte,"(0, 1, 2)","(1, 1, 0, 15)",1085.1853737757006
100,Norte,"(0, 1, 2)","(1, 1, 1, 15)",1026.9652386675157
101,Norte,"(0, 1, 2)","(1, 1, 2, 15)",2742.50711601962
102,Norte,"(0, 1, 2)","(2, 0, 0, 15)",1045.962132440133
103,Norte,"(0, 1, 2)","(2, 0, 1, 15)",1047.0740267696094
104,Norte,"(0, 1, 2)","(2, 0, 2, 15)",5685.438470096449
105,Norte,"(0, 1, 2)","(2, 1, 0, 15)",863.5240483495336
106,Norte,"(0, 1, 2)","(2, 1, 1, 15)",862.7156443593562
107,Norte,"(0, 1, 2)","(2, 1, 2, 15)",2728.4208932453857
108,Norte,"(1, 0, 0)","(0, 0, 0, 15)",1417.846839678867
109,Norte,"(1, 0, 0)","(0, 0, 1, 15)",1248.3484505875133
110,Norte,"(1, 0, 0)","(0, 0, 2, 15)",2905.3166472956905
111,Norte,"(1, 0, 0)","(0, 1, 0, 15)",1298.9215431700602
112,Norte,"(1, 0, 0)","(0, 1, 1, 15)",1075.347199864851
113,Norte,"(1, 0, 0)","(0, 1, 2, 15)",2857.3536126036597
114,Norte,"(1, 0, 0)","(1, 0, 0, 15)",1248.2102899954632
115,Norte,"(1, 0, 0)","(1, 0, 1, 15)",1245.2417754027622
116,Norte,"(1, 0, 0)","(1, 0, 2, 15)",2717.587172053927
117,Norte,"(1, 0, 0)","(1, 1, 0, 15)",1094.8244206683191
118,Norte,"(1, 0, 0)","(1, 1, 1, 15)",1077.3399020293275
119,Norte,"(1, 0, 0)","(1, 1, 2, 15)",2362.664779172927
120,Norte,"(1, 0, 0)","(2, 0, 0, 15)",1066.1654502539475
121,Norte,"(1, 0, 0)","(2, 0, 1, 15)",1054.4964007272322
122,Norte,"(1, 0, 0)","(2, 0, 2, 15)",2792.8411112638655
123,Norte,"(1, 0, 0)","(2, 1, 0, 15)",879.1246052843828
124,Norte,"(1, 0, 0)","(2, 1, 1, 15)",878.8776810352252
125,Norte,"(1, 0, 0)","(2, 1, 2, 15)",2252.3481027257562
126,Norte,"(1, 0, 1)","(0, 0, 0, 15)",1386.9233106588713
127,Norte,"(1, 0, 1)","(0, 0, 1, 15)",1219.7669050259265
128,Norte,"(1, 0, 1)","(0, 0, 2, 15)",3772.999934600699
129,Norte,"(1, 0, 1)","(0, 1, 0, 15)",1273.2737345446674
130,Norte,"(1, 0, 1)","(0, 1, 1, 15)",1047.9753488259696
131,Norte,"(1, 0, 1)","(0, 1, 2, 15)",2873.6778651478053
132,Norte,"(1, 0, 1)","(1, 0, 0, 15)",1230.9775275061145
133,Norte,"(1, 0, 1)","(1, 0, 1, 15)",1217.4574191813692
134,Norte,"(1, 0, 1)","(1, 0, 2, 15)",3748.5605964029487
135,Norte,"(1, 0, 1)","(1, 1, 0, 15)",1081.3169567697264
136,Norte,"(1, 0, 1)","(1, 1, 1, 15)",1049.946978913129
137,Norte,"(1, 0, 1)","(1, 1, 2, 15)",2748.352418705436
138,Norte,"(1, 0, 1)","(2, 0, 0, 15)",1028.9585107327416
139,Norte,"(1, 0, 1)","(2, 0, 1, 15)",1028.8408891235256
140,Norte,"(1, 0, 1)","(2, 0, 2, 15)",3750.6252781358926
141,Norte,"(1, 0, 1)","(2, 1, 0, 15)",861.9522405640297
142,Norte,"(1, 0, 1)","(2, 1, 1, 15)",863.5023744717882
143,Norte,"(1, 0, 1)","(2, 1, 2, 15)",2779.5332391960997
144,Norte,"(1, 0, 2)","(0, 0, 0, 15)",1377.5487647033553
145,Norte,"(1, 0, 2)","(0, 0, 1, 15)",1210.3003198467159
146,Norte,"(1, 0, 2)","(0, 0, 2, 15)",3279.6417009788906
147,Norte,"(1, 0, 2)","(0, 1, 0, 15)",1263.279791399495
148,Norte,"(1, 0, 2)","(0, 1, 1, 15)",1038.4271222323357
149,Norte,"(1, 0, 2)","(0, 1, 2, 15)",2544.5600936547594
150,Norte,"(1, 0, 2)","(1, 0, 0, 15)",1232.8777818250492
151,Norte,"(1, 0, 2)","(1, 0, 1, 15)",1208.0443682943214
152,Norte,"(1, 0, 2)","(1, 0, 2, 15)",3253.0781897886563
153,Norte,"(1, 0, 2)","(1, 1, 0, 15)",1083.1624271332253
154,Norte,"(1, 0, 2)","(1, 1, 1, 15)",1040.4039528867547
155,Norte,"(1, 0, 2)","(1, 1, 2, 15)",2418.735660218485
156,Norte,"(1, 0, 2)","(2, 0, 0, 15)",1031.360712467212
157,Norte,"(1, 0, 2)","(2, 0, 1, 15)",1027.2513253492987
