,city,"p, d, q","P, D, Q, m",aic
69,Alentejo,"(0, 1, 0)","(2, 1, 0, 15)",504.128322943324
70,Alentejo,"(0, 1, 0)","(2, 1, 1, 15)",505.5301681130676
71,Alentejo,"(0, 1, 0)","(2, 1, 2, 15)",3388.2761664438576
72,Alentejo,"(0, 1, 1)","(0, 0, 0, 15)",755.2694084898009
73,Alentejo,"(0, 1, 1)","(0, 0, 1, 15)",671.441991237928
74,Alentejo,"(0, 1, 1)","(0, 0, 2, 15)",3551.4993125607334
75,Alentejo,"(0, 1, 1)","(0, 1, 0, 15)",697.9552694223083
76,Alentejo,"(0, 1, 1)","(0, 1, 1, 15)",587.264929122861
77,Alentejo,"(0, 1, 1)","(0, 1, 2, 15)",2591.7342629971427
78,Alentejo,"(0, 1, 1)","(1, 0, 0, 15)",683.0934500868647
79,Alentejo,"(0, 1, 1)","(1, 0, 1, 15)",673.411855986201
80,Alentejo,"(0, 1, 1)","(1, 0, 2, 15)",3546.5827991190563
81,Alentejo,"(0, 1, 1)","(1, 1, 0, 15)",608.5635866486938
82,Alentejo,"(0, 1, 1)","(1, 1, 1, 15)",591.7955589992071
83,Alentejo,"(0, 1, 1)","(1, 1, 2, 15)",2654.171072094737
84,Alentejo,"(0, 1, 1)","(2, 0, 0, 15)",595.856948790718
85,Alentejo,"(0, 1, 1)","(2, 0, 1, 15)",597.4081231310751
86,Alentejo,"(0, 1, 1)","(2, 0, 2, 15)",3531.225828698033
87,Alentejo,"(0, 1, 1)","(2, 1, 0, 15)",499.2097069012365
88,Alentejo,"(0, 1, 1)","(2, 1, 1, 15)",501.05869350451053
89,Alentejo,"(0, 1, 1)","(2, 1, 2, 15)",2634.253597085242
90,Alentejo,"(0, 1, 2)","(0, 0, 0, 15)",751.6093839745151
91,Alentejo,"(0, 1, 2)","(0, 0, 1, 15)",667.6306201968073
92,Alentejo,"(0, 1, 2)","(0, 0, 2, 15)",2973.614407671838
93,Alentejo,"(0, 1, 2)","(0, 1, 0, 15)",693.2409618358871
94,Alentejo,"(0, 1, 2)","(0, 1, 1, 15)",583.0559197070277
95,Alentejo,"(0, 1, 2)","(0, 1, 2, 15)",3229.3936427747685
96,Alentejo,"(0, 1, 2)","(1, 0, 0, 15)",685.0826688415669
97,Alentejo,"(0, 1, 2)","(1, 0, 1, 15)",669.5970541379509
98,Alentejo,"(0, 1, 2)","(1, 0, 2, 15)",2990.2637209768304
99,Alentejo,"(0, 1, 2)","(1, 1, 0, 15)",610.4640563249865
100,Alentejo,"(0, 1, 2)","(1, 1, 1, 15)",587.214706281746
101,Alentejo,"(0, 1, 2)","(1, 1, 2, 15)",3291.002671628489
102,Alentejo,"(0, 1, 2)","(2, 0, 0, 15)",597.8454689296531
103,Alentejo,"(0, 1, 2)","(2, 0, 1, 15)",599.3320500925541
104,Alentejo,"(0, 1, 2)","(2, 0, 2, 15)",2983.201199504974
105,Alentejo,"(0, 1, 2)","(2, 1, 0, 15)",501.194827695825
106,Alentejo,"(0, 1, 2)","(2, 1, 1, 15)",503.0160007785037
107,Alentejo,"(0, 1, 2)","(2, 1, 2, 15)",3274.783107937215
108,Alentejo,"(1, 0, 0)","(0, 0, 0, 15)",777.5193620637621
109,Alentejo,"(1, 0, 0)","(0, 0, 1, 15)",692.4031583053156
110,Alentejo,"(1, 0, 0)","(0, 0, 2, 15)",3372.3968108518034
111,Alentejo,"(1, 0, 0)","(0, 1, 0, 15)",713.8591230005113
112,Alentejo,"(1, 0, 0)","(0, 1, 1, 15)",603.2833168326266
113,Alentejo,"(1, 0, 0)","(0, 1, 2, 15)",2753.6337982981354
114,Alentejo,"(1, 0, 0)","(1, 0, 0, 15)",692.2898738908166
115,Alentejo,"(1, 0, 0)","(1, 0, 1, 15)",694.2812053651959
116,Alentejo,"(1, 0, 0)","(1, 0, 2, 15)",2900.085680098864
117,Alentejo,"(1, 0, 0)","(1, 1, 0, 15)",611.9502699869562
118,Alentejo,"(1, 0, 0)","(1, 1, 1, 15)",606.9266608235725
119,Alentejo,"(1, 0, 0)","(1, 1, 2, 15)",2901.026511296981
120,Alentejo,"(1, 0, 0)","(2, 0, 0, 15)",603.274149729481
121,Alentejo,"(1, 0, 0)","(2, 0, 1, 15)",603.3099267093678
122,Alentejo,"(1, 0, 0)","(2, 0, 2, 15)",2854.8785116511954
123,Alentejo,"(1, 0, 0)","(2, 1, 0, 15)",499.82220284299876
124,Alentejo,"(1, 0, 0)","(2, 1, 1, 15)",501.6416660715002
125,Alentejo,"(1, 0, 0)","(2, 1, 2, 15)",2810.196667813576
126,Alentejo,"(1, 0, 1)","(0, 0, 0, 15)",763.312453946595
127,Alentejo,"(1, 0, 1)","(0, 0, 1, 15)",679.6281310493699
128,Alentejo,"(1, 0, 1)","(0, 0, 2, 15)",3188.9874786011123
129,Alentejo,"(1, 0, 1)","(0, 1, 0, 15)",705.6062666432828
130,Alentejo,"(1, 0, 1)","(0, 1, 1, 15)",594.7663376970448
131,Alentejo,"(1, 0, 1)","(0, 1, 2, 15)",4623.103353863419
132,Alentejo,"(1, 0, 1)","(1, 0, 0, 15)",685.37069662289
133,Alentejo,"(1, 0, 1)","(1, 0, 1, 15)",681.5975556641959
134,Alentejo,"(1, 0, 1)","(1, 0, 2, 15)",
135,Alentejo,"(1, 0, 1)","(1, 1, 0, 15)",609.5844149254295
136,Alentejo,"(1, 0, 1)","(1, 1, 1, 15)",598.9769099795246
137,Alentejo,"(1, 0, 1)","(1, 1, 2, 15)",2457.9927135751145
138,Alentejo,"(1, 0, 1)","(2, 0, 0, 15)",598.245655314102
139,Alentejo,"(1, 0, 1)","(2, 0, 1, 15)",599.1822346712586
140,Alentejo,"(1, 0, 1)","(2, 0, 2, 15)",5541.8589876277565
141,Alentejo,"(1, 0, 1)","(2, 1, 0, 15)",500.5700891523181
142,Alentejo,"(1, 0, 1)","(2, 1, 1, 15)",502.4657173502495
143,Alentejo,"(1, 0, 1)","(2, 1, 2, 15)",2930.140570756883
144,Alentejo,"(1, 0, 2)","(0, 0, 0, 15)",759.6599250700585
145,Alentejo,"(1, 0, 2)","(0, 0, 1, 15)",675.825435947873
146,Alentejo,"(1, 0, 2)","(0, 0, 2, 15)",3719.8000458208044
147,Alentejo,"(1, 0, 2)","(0, 1, 0, 15)",696.3908418788837
148,Alentejo,"(1, 0, 2)","(0, 1, 1, 15)",589.2925081144102
149,Alentejo,"(1, 0, 2)","(0, 1, 2, 15)",4785.480625657191
150,Alentejo,"(1, 0, 2)","(1, 0, 0, 15)",687.3481430183951
151,Alentejo,"(1, 0, 2)","(1, 0, 1, 15)",677.7915311422607
152,Alentejo,"(1, 0, 2)","(1, 0, 2, 15)",5510.273452217835
153,Alentejo,"(1, 0, 2)","(1, 1, 0, 15)",609.9908564448319
154,Alentejo,"(1, 0, 2)","(1, 1, 1, 15)",592.796983196904
155,Alentejo,"(1, 0, 2)","(1, 1, 2, 15)",3092.3505061964015
156,Alentejo,"(1, 0, 2)","(2, 0, 0, 15)",600.2281250787092
157,Alentejo,"(1, 0, 2)","(2, 0, 1, 15)",601.0668289128627
158,Alentejo,"(1, 0, 2)","(2, 0, 2, 15)",5511.229143227145
159,Alentejo,"(1, 0, 2)","(2, 1, 0, 15)",501.6637568819952
160,Alentejo,"(1, 0, 2)","(2, 1, 1, 15)",503.57221059126994
161,Alentejo,"(1, 0, 2)","(2, 1, 2, 15)",2102.4026694912263
162,Alentejo,"(1, 1, 0)","(0, 0, 0, 15)",762.0752202090227
163,Alentejo,"(1, 1, 0)","(0, 0, 1, 15)",677.9906696797566
164,Alentejo,"(1, 1, 0)","(0, 0, 2, 15)",3451.32132901467
165,Alentejo,"(1, 1, 0)","(0, 1, 0, 15)",707.9647144575449
166,Alentejo,"(1, 1, 0)","(0, 1, 1, 15)",594.7560605370304
167,Alentejo,"(1, 1, 0)","(0, 1, 2, 15)",2484.610371261718
168,Alentejo,"(1, 1, 0)","(1, 0, 0, 15)",677.9248195805159
169,Alentejo,"(1, 1, 0)","(1, 0, 1, 15)",679.9226487895432
170,Alentejo,"(1, 1, 0)","(1, 0, 2, 15)",3446.353583581249
171,Alentejo,"(1, 1, 0)","(1, 1, 0, 15)",605.8684790054255
172,Alentejo,"(1, 1, 0)","(1, 1, 1, 15)",599.938474161127
173,Alentejo,"(1, 1, 0)","(1, 1, 2, 15)",2618.7684107466057
174,Alentejo,"(1, 1, 0)","(2, 0, 0, 15)",590.2175362122088
175,Alentejo,"(1, 1, 0)","(2, 0, 1, 15)",590.771153411777
176,Alentejo,"(1, 1, 0)","(2, 0, 2, 15)",3430.799786864734
177,Alentejo,"(1, 1, 0)","(2, 1, 0, 15)",492.7740678202141
178,Alentejo,"(1, 1, 0)","(2, 1, 1, 15)",494.6693584969882
179,Alentejo,"(1, 1, 0)","(2, 1, 2, 15)",2622.7332055070947
180,Alentejo,"(1, 1, 1)","(0, 0, 0, 15)",757.228842783974
181,Alentejo,"(1, 1, 1)","(0, 0, 1, 15)",673.3743120985172
182,Alentejo,"(1, 1, 1)","(0, 0, 2, 15)",3780.388258251694
183,Alentejo,"(1, 1, 1)","(0, 1, 0, 15)",699.1817011670348
184,Alentejo,"(1, 1, 1)","(0, 1, 1, 15)",588.8701573072623
185,Alentejo,"(1, 1, 1)","(0, 1, 2, 15)",2956.1873843729886
186,Alentejo,"(1, 1, 1)","(1, 0, 0, 15)",679.1521217404297
187,Alentejo,"(1, 1, 1)","(1, 0, 1, 15)",675.3366109051672
188,Alentejo,"(1, 1, 1)","(1, 0, 2, 15)",3775.489669844485
189,Alentejo,"(1, 1, 1)","(1, 1, 0, 15)",603.5117580547947
190,Alentejo,"(1, 1, 1)","(1, 1, 1, 15)",593.5280834565776
191,Alentejo,"(1, 1, 1)","(1, 1, 2, 15)",3018.6294833278116
192,Alentejo,"(1, 1, 1)","(2, 0, 0, 15)",591.500518042737
193,Alentejo,"(1, 1, 1)","(2, 0, 1, 15)",592.369802945891
194,Alentejo,"(1, 1, 1)","(2, 0, 2, 15)",3760.2373294561903
195,Alentejo,"(1, 1, 1)","(2, 1, 0, 15)",494.4684137022225
196,Alentejo,"(1, 1, 1)","(2, 1, 1, 15)",496.2546703918599
197,Alentejo,"(1, 1, 1)","(2, 1, 2, 15)",3002.148632096327
198,Alentejo,"(1, 1, 2)","(0, 0, 0, 15)",752.8239441612504
199,Alentejo,"(1, 1, 2)","(0, 0, 1, 15)",668.8443539932853
200,Alentejo,"(1, 1, 2)","(0, 0, 2, 15)",3316.948703219301
201,Alentejo,"(1, 1, 2)","(0, 1, 0, 15)",693.6245829709509
202,Alentejo,"(1, 1, 2)","(0, 1, 1, 15)",584.1799104049887
203,Alentejo,"(1, 1, 2)","(0, 1, 2, 15)",2914.8610993125612
204,Alentejo,"(1, 1, 2)","(1, 0, 0, 15)",680.4293515128971
205,Alentejo,"(1, 1, 2)","(1, 0, 1, 15)",670.786395597097
206,Alentejo,"(1, 1, 2)","(1, 0, 2, 15)",3312.0544503158458
207,Alentejo,"(1, 1, 2)","(1, 1, 0, 15)",604.843939982978
