,city,"p, d, q","P, D, Q, m",aic
70,Algarve,"(0, 1, 0)","(2, 1, 1, 15)",441.7192814635899
71,Algarve,"(0, 1, 0)","(2, 1, 2, 15)",2999.45929663715
72,Algarve,"(0, 1, 1)","(0, 0, 0, 15)",707.119199895584
73,Algarve,"(0, 1, 1)","(0, 0, 1, 15)",629.1293892217841
74,Algarve,"(0, 1, 1)","(0, 0, 2, 15)",3467.9598914552557
75,Algarve,"(0, 1, 1)","(0, 1, 0, 15)",669.2924284159504
76,Algarve,"(0, 1, 1)","(0, 1, 1, 15)",545.588842873708
77,Algarve,"(0, 1, 1)","(0, 1, 2, 15)",2464.4929284521204
78,Algarve,"(0, 1, 1)","(1, 0, 0, 15)",640.1494371921739
79,Algarve,"(0, 1, 1)","(1, 0, 1, 15)",630.7317676542733
80,Algarve,"(0, 1, 1)","(1, 0, 2, 15)",3444.7408007690487
81,Algarve,"(0, 1, 1)","(1, 1, 0, 15)",567.0212144869005
82,Algarve,"(0, 1, 1)","(1, 1, 1, 15)",553.0639934759199
83,Algarve,"(0, 1, 1)","(1, 1, 2, 15)",2104.9032483827323
84,Algarve,"(0, 1, 1)","(2, 0, 0, 15)",544.1987651906552
85,Algarve,"(0, 1, 1)","(2, 0, 1, 15)",542.1482094809435
86,Algarve,"(0, 1, 1)","(2, 0, 2, 15)",3467.626511392873
87,Algarve,"(0, 1, 1)","(2, 1, 0, 15)",444.126416338205
88,Algarve,"(0, 1, 1)","(2, 1, 1, 15)",438.7459638942149
89,Algarve,"(0, 1, 1)","(2, 1, 2, 15)",2310.473049308144
90,Algarve,"(0, 1, 2)","(0, 0, 0, 15)",702.9050565212351
91,Algarve,"(0, 1, 2)","(0, 0, 1, 15)",624.801111043337
92,Algarve,"(0, 1, 2)","(0, 0, 2, 15)",2884.7974253372927
93,Algarve,"(0, 1, 2)","(0, 1, 0, 15)",664.9185215765043
94,Algarve,"(0, 1, 2)","(0, 1, 1, 15)",541.5091639374706
95,Algarve,"(0, 1, 2)","(0, 1, 2, 15)",2900.436472058962
96,Algarve,"(0, 1, 2)","(1, 0, 0, 15)",641.2252784635721
97,Algarve,"(0, 1, 2)","(1, 0, 1, 15)",626.7975036181845
98,Algarve,"(0, 1, 2)","(1, 0, 2, 15)",2861.8815443643875
99,Algarve,"(0, 1, 2)","(1, 1, 0, 15)",568.7340075089244
100,Algarve,"(0, 1, 2)","(1, 1, 1, 15)",548.6065271377911
101,Algarve,"(0, 1, 2)","(1, 1, 2, 15)",2904.883838674394
102,Algarve,"(0, 1, 2)","(2, 0, 0, 15)",546.197949639335
103,Algarve,"(0, 1, 2)","(2, 0, 1, 15)",544.1476952759474
104,Algarve,"(0, 1, 2)","(2, 0, 2, 15)",2884.5169572276013
105,Algarve,"(0, 1, 2)","(2, 1, 0, 15)",442.7381067027944
106,Algarve,"(0, 1, 2)","(2, 1, 1, 15)",435.4939652838618
107,Algarve,"(0, 1, 2)","(2, 1, 2, 15)",2904.8267245399657
108,Algarve,"(1, 0, 0)","(0, 0, 0, 15)",729.6075206817651
109,Algarve,"(1, 0, 0)","(0, 0, 1, 15)",649.5016939731748
110,Algarve,"(1, 0, 0)","(0, 0, 2, 15)",3475.0640734408817
111,Algarve,"(1, 0, 0)","(0, 1, 0, 15)",686.3940107288358
112,Algarve,"(1, 0, 0)","(0, 1, 1, 15)",561.666808163742
113,Algarve,"(1, 0, 0)","(0, 1, 2, 15)",2156.492129072889
114,Algarve,"(1, 0, 0)","(1, 0, 0, 15)",649.3150812934726
115,Algarve,"(1, 0, 0)","(1, 0, 1, 15)",648.8789670066617
116,Algarve,"(1, 0, 0)","(1, 0, 2, 15)",3309.341177486026
117,Algarve,"(1, 0, 0)","(1, 1, 0, 15)",572.9692760376952
118,Algarve,"(1, 0, 0)","(1, 1, 1, 15)",568.5095050108318
119,Algarve,"(1, 0, 0)","(1, 1, 2, 15)",2950.274153315914
120,Algarve,"(1, 0, 0)","(2, 0, 0, 15)",553.7111432772385
121,Algarve,"(1, 0, 0)","(2, 0, 1, 15)",549.006470368511
122,Algarve,"(1, 0, 0)","(2, 0, 2, 15)",3400.7501542395144
123,Algarve,"(1, 0, 0)","(2, 1, 0, 15)",443.4067889860705
124,Algarve,"(1, 0, 0)","(2, 1, 1, 15)",449.6055590996715
125,Algarve,"(1, 0, 0)","(2, 1, 2, 15)",2158.2367923314036
126,Algarve,"(1, 0, 1)","(0, 0, 0, 15)",714.3021262620264
127,Algarve,"(1, 0, 1)","(0, 0, 1, 15)",636.4195437555492
128,Algarve,"(1, 0, 1)","(0, 0, 2, 15)",3437.410601663225
129,Algarve,"(1, 0, 1)","(0, 1, 0, 15)",675.1835967527163
130,Algarve,"(1, 0, 1)","(0, 1, 1, 15)",553.1142881590721
131,Algarve,"(1, 0, 1)","(0, 1, 2, 15)",2851.6901871799505
