city,test_loss,test_acc,val_acc,val_loss,layers,dropout,algorithm,learning rate,epochs,batch_size,model
Norte,0.026462258771061897,0.02217341773211956,0.017234988510608673,0.020117787644267082,"[50, 100, 50]",0.7,adam,0.01,500,8,LSTM
Centro,0.025398511439561844,0.02181307040154934,0.017295848578214645,0.022029971703886986,"[100, 50]",0.2,rmsprop,0.01,1000,16,RNN
LVT,0.2569166123867035,0.22695574164390564,0.23403505980968475,0.2558431029319763,"[100, 100, 100]",0.7,rmsprop,0.01,10000,64,RNN
Algarve,0.4466826319694519,0.2788955867290497,0.04922269657254219,0.06095707044005394,"[100, 150]",0.5,adam,0.001,10000,16,LSTM
Alentejo,0.2988985478878021,0.12892229855060577,0.01971745304763317,0.024569155648350716,"[50, 100, 50]",0.5,rmsprop,0.0001,500,16,GRU
